thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,time.started,math_problem.started,key_resp.started,textbox0.started,textbox9.started,textbox8.started,textbox7.started,textbox6.started,textbox5.started,textbox4.started,textbox3.started,textbox2.started,textbox1.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,problem,answer,end.started,end.stopped,ending.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 48
,,,,,,,,,,,,0.0341066000401042,0.0562239999999292,29.149186700000428,space,29.085134399996605,,,,,,,,,,,,,,,,,,,,,,,,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
0.0,0.0,0.0,left,4.557712500041816,0.081753899983596,0.0,0.0,0.0,0.0,29.28796840005089,,,,,,,,40.90476390002296,40.98796840005089,40.98796840005089,40.98796840005089,40.98796840005089,40.98796840005089,40.98796840005089,40.98796840005089,40.98796840005089,40.98796840005089,40.98796840005089,40.98796840005089,40.98796840005089,40.98796840005089,47.97818610001123,left,4.557712500041816,0.081753899983596,7 / 5 + 16 / 10 = ?,3.0,47.991371500003154,47.992169000022116,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
1.0,0.0,1.0,down,4.871114699984901,,1.0,0.0,1.0,0.0,36.41257980000228,,,,,,,,48.023083700030114,48.11257980000228,48.11257980000228,48.11257980000228,48.11257980000228,48.11257980000228,48.11257980000228,48.11257980000228,48.11257980000228,48.11257980000228,48.11257980000228,48.11257980000228,48.11257980000228,48.11257980000228,52.99334970004857,down,4.871114699984901,,(5 * 2) + (2 - 8) = ?,4.0,52.99367270000512,52.993868300039324,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
2.0,0.0,2.0,,,,2.0,0.0,2.0,0.0,41.37708330003079,,,,,,,,53.00301710002823,53.07708330003079,53.07708330003079,53.07708330003079,53.07708330003079,53.07708330003079,53.07708330003079,53.07708330003079,53.07708330003079,53.07708330003079,53.07708330003079,53.07708330003079,53.07708330003079,53.07708330003079,60.023999300017024,,,,6 * 14 - 16 * 5 = ?,4.0,60.040854700014464,60.041886500013064,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
3.0,0.0,3.0,down,2.956172499980312,,3.0,0.0,3.0,0.0,48.46709370001918,,,,,,,,60.07956030003261,60.16709370001918,60.16709370001918,60.16709370001918,60.16709370001918,60.16709370001918,60.16709370001918,60.16709370001918,60.16709370001918,60.16709370001918,60.16709370001918,60.16709370001918,60.16709370001918,60.16709370001918,63.13774100003066,down,2.956172499980312,,4 / 2 - 18 / 9 = ?,0.0,63.13803160003154,63.13822810001439,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
4.0,0.0,4.0,left,3.8757321999873966,,4.0,0.0,4.0,0.0,51.52003620000323,,,,,,,,63.14585420005024,63.220036200003236,63.220036200003236,63.220036200003236,63.220036200003236,63.220036200003236,63.220036200003236,63.220036200003236,63.220036200003236,63.220036200003236,63.220036200003236,63.220036200003236,63.220036200003236,63.220036200003236,69.16987359999912,left,3.8757321999873966,,4 / 20 - 2 / 10 + 9 = ?,9.0,69.18079739999956,69.18157330002869,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
5.0,0.0,5.0,down,0.1444316999986767,,5.0,0.0,5.0,0.0,57.59212800004752,,,,,,,,69.20664270005655,69.29212800004753,69.29212800004753,69.29212800004753,69.29212800004753,69.29212800004753,69.29212800004753,69.29212800004753,69.29212800004753,69.29212800004753,69.29212800004753,69.29212800004753,69.29212800004753,69.29212800004753,71.46990450004814,down,0.1444316999986767,,29 / 29 + 27 / 9 - 2 = ?,2.0,71.48082600003109,71.48163780004252,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
6.0,0.0,6.0,,,,6.0,0.0,6.0,0.0,59.89288410003064,,,,,,,,71.51213620002382,71.59288410003064,71.59288410003064,71.59288410003064,71.59288410003064,71.59288410003064,71.59288410003064,71.59288410003064,71.59288410003064,71.59288410003064,71.59288410003064,71.59288410003064,71.59288410003064,71.59288410003064,77.53410140004708,,,,23 / 2 - 3 / 6 - 7 = ?,4.0,77.55083280003164,77.551479200006,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
7.0,0.0,7.0,left,4.731066500011366,0.0997309999656863,7.0,0.0,7.0,0.0,65.95130510005401,,,,,,,,77.5690312000108,77.65130510005402,77.65130510005402,77.65130510005402,77.65130510005402,77.65130510005402,77.65130510005402,77.65130510005402,77.65130510005402,77.65130510005402,77.65130510005402,77.65130510005402,77.65130510005402,77.65130510005402,84.58083510001889,left,4.731066500011366,0.0997309999656863,23 * 5 - 27 * 4 = ?,7.0,84.60106250002282,84.60191490005236,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
8.0,0.0,8.0,,,,8.0,0.0,8.0,0.0,73.0059044000227,,,,,,,,84.6214432000299,84.7059044000227,84.7059044000227,84.7059044000227,84.7059044000227,84.7059044000227,84.7059044000227,84.7059044000227,84.7059044000227,84.7059044000227,84.7059044000227,84.7059044000227,84.7059044000227,84.7059044000227,92.64409330002964,,,,(2 + 4) - (8 - 7) = ?,5.0,92.66150440000929,92.66235159999924,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
