thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,time.started,math_problem.started,key_resp.started,textbox0.started,textbox9.started,textbox8.started,textbox7.started,textbox6.started,textbox5.started,textbox4.started,textbox3.started,textbox2.started,textbox1.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,problem,answer,end.started,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 47
,,,,,,,,,,,,0.0367374999914318,0.0558280999830458,5.828351399977692,space,5.761208000010811,,,,,,,,,,,,,,,,,,,,,,,,6,1.0,2024-11-18_15h10.51.123,mist,2024.2.4,59.88479363169743,2024-11-18 15h10.56.020849 +0800,
0.0,0.0,0.0,down,4.237604599999031,,0.0,0.0,0.0,0.0,5.959806800005026,,,,,,,,6.57830079998821,6.659806800005026,6.659806800005026,6.659806800005026,6.659806800005026,6.659806800005026,6.659806800005026,6.659806800005026,6.659806800005026,6.659806800005026,6.659806800005026,6.659806800005026,6.659806800005026,6.659806800005026,10.907097699982113,down,4.237604599999031,,30 / 3 - 12 / 4 = ?,7.0,10.907431399991035,10.907630599994443,6,1.0,2024-11-18_15h10.51.123,mist,2024.2.4,59.88479363169743,2024-11-18 15h10.56.020849 +0800,
1.0,0.0,1.0,,,,1.0,0.0,1.0,0.0,10.291982299997471,,,,,,,,10.917793299991171,10.99198229999747,10.99198229999747,10.99198229999747,10.99198229999747,10.99198229999747,10.99198229999747,10.99198229999747,10.99198229999747,10.99198229999747,10.99198229999747,10.99198229999747,10.99198229999747,10.99198229999747,16.939348999981302,,,,24 / 2 + 20 / 10 - 9 = ?,5.0,16.95608839999768,16.956896899983985,6,1.0,2024-11-18_15h10.51.123,mist,2024.2.4,59.88479363169743,2024-11-18 15h10.56.020849 +0800,
2.0,0.0,2.0,,,,2.0,0.0,2.0,0.0,16.351863999996567,,,,,,,,16.988789599988376,17.051863999996566,17.051863999996566,17.051863999996566,19.185664399981036,19.185664399981036,19.185664399981036,19.185664399981036,19.185664399981036,19.185664399981036,19.185664399981036,19.185664399981036,19.185664399981036,19.185664399981036,19.055036299995844,,,,2 * 12 - 3 * 2 * 3 = ?,6.0,19.075839099986478,19.07668990000384,6,1.0,2024-11-18_15h10.51.123,mist,2024.2.4,59.88479363169743,2024-11-18 15h10.56.020849 +0800,
3.0,0.0,3.0,,,,3.0,0.0,3.0,0.0,18.485664399981037,,,,,,,,19.1072668000008,19.185664399981036,19.185664399981036,19.185664399981036,19.185664399981036,19.185664399981036,19.185664399981036,19.185664399981036,19.185664399981036,19.185664399981036,19.185664399981036,19.185664399981036,19.185664399981036,19.185664399981036,24.12482739998377,,,,10 * 2 - 25 / 10 * 8 = ?,0.0,24.145583399996394,24.14659169999068,6,1.0,2024-11-18_15h10.51.123,mist,2024.2.4,59.88479363169743,2024-11-18 15h10.56.020849 +0800,
4.0,0.0,4.0,,,,4.0,0.0,4.0,0.0,23.559002399997556,,,,,,,,24.18166150000179,24.259002399997556,24.259002399997556,24.259002399997556,24.259002399997556,24.259002399997556,24.259002399997556,24.259002399997556,24.259002399997556,24.259002399997556,24.259002399997556,24.259002399997556,24.259002399997556,24.259002399997556,29.189823599986262,,,,21 * 4 - 27 / 4 * 12 = ?,3.0,29.205700399982742,29.20658909999765,6,1.0,2024-11-18_15h10.51.123,mist,2024.2.4,59.88479363169743,2024-11-18 15h10.56.020849 +0800,
5.0,0.0,5.0,down,2.5487740999960806,,5.0,0.0,5.0,0.0,28.615160099987406,,,,,,,,29.231969400006342,29.315160099987406,29.315160099987406,29.315160099987406,29.315160099987406,29.315160099987406,29.315160099987406,29.315160099987406,29.315160099987406,29.315160099987406,29.315160099987406,29.315160099987406,29.315160099987406,29.315160099987406,33.90481850000215,down,2.5487740999960806,,4 / 12 - 9 / 27 + 9 = ?,9.0,33.92610259999056,33.9271480000054,6,1.0,2024-11-18_15h10.51.123,mist,2024.2.4,59.88479363169743,2024-11-18 15h10.56.020849 +0800,
6.0,0.0,6.0,down,2.7900200999865774,,6.0,0.0,6.0,0.0,33.33717230000184,,,,,,,,33.95368979998166,34.03717230000184,34.03717230000184,34.03717230000184,34.03717230000184,34.03717230000184,34.03717230000184,34.03717230000184,34.03717230000184,34.03717230000184,34.03717230000184,34.03717230000184,34.03717230000184,34.03717230000184,38.87910680000205,down,2.7900200999865774,,24 * 18 - 16 * 27 = ?,0.0,38.89603609998012,38.897068699984814,6,1.0,2024-11-18_15h10.51.123,mist,2024.2.4,59.88479363169743,2024-11-18 15h10.56.020849 +0800,
7.0,0.0,7.0,down,2.293300999997882,,7.0,0.0,7.0,0.0,38.31138519998058,,,,,,,,38.92544509998989,39.01138519998058,39.01138519998058,39.01138519998058,39.01138519998058,39.01138519998058,39.01138519998058,39.01138519998058,39.01138519998058,39.01138519998058,39.01138519998058,39.01138519998058,39.01138519998058,39.01138519998058,43.333362599997784,down,2.293300999997882,,(3 - 6) + (3 + 6) = ?,6.0,43.34569649999612,43.34658349999809,6,1.0,2024-11-18_15h10.51.123,mist,2024.2.4,59.88479363169743,2024-11-18 15h10.56.020849 +0800,
8.0,0.0,8.0,down,3.026935499976389,,8.0,0.0,8.0,0.0,42.75358369998867,,,,,,,,43.36537539998535,43.45358369998867,43.45358369998867,43.45358369998867,43.45358369998867,43.45358369998867,43.45358369998867,43.45358369998867,43.45358369998867,43.45358369998867,43.45358369998867,43.45358369998867,43.45358369998867,43.45358369998867,46.49736639998737,down,3.026935499976389,,4 + 10 - 9 = ?,5.0,46.49766939999536,46.49785559998709,6,1.0,2024-11-18_15h10.51.123,mist,2024.2.4,59.88479363169743,2024-11-18 15h10.56.020849 +0800,
9.0,0.0,9.0,down,2.899348300008569,,9.0,0.0,9.0,0.0,45.87615969998296,,,,,,,,46.5044693999982,46.576159699982966,46.576159699982966,46.576159699982966,46.576159699982966,46.576159699982966,46.576159699982966,46.576159699982966,46.576159699982966,46.576159699982966,46.576159699982966,46.576159699982966,46.576159699982966,46.576159699982966,51.513369099982086,down,2.899348300008569,,23 - 21 = ?,2.0,51.52625990000088,51.527258899982556,6,1.0,2024-11-18_15h10.51.123,mist,2024.2.4,59.88479363169743,2024-11-18 15h10.56.020849 +0800,
10.0,0.0,10.0,down,2.367656299989904,,10.0,0.0,10.0,0.0,50.93880229999195,,,,,,,,51.552313899988086,51.63880229999195,51.63880229999195,51.63880229999195,51.63880229999195,51.63880229999195,51.63880229999195,51.63880229999195,51.63880229999195,51.63880229999195,51.63880229999195,51.63880229999195,51.63880229999195,51.63880229999195,54.02605169998715,down,2.367656299989904,,1 + 6 = ?,7.0,54.026345699984816,54.026565700001086,6,1.0,2024-11-18_15h10.51.123,mist,2024.2.4,59.88479363169743,2024-11-18 15h10.56.020849 +0800,
