thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,time.started,math_problem.started,key_resp.started,textbox0.started,textbox9.started,textbox8.started,textbox7.started,textbox6.started,textbox5.started,textbox4.started,textbox3.started,textbox2.started,textbox1.started,trial.stopped,trials.key_resp.keys,problem,answer,end.started,end.stopped,trials.key_resp.rt,trials.key_resp.duration,ending.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 48
,,,,,,,,,,,,0.0353634003549814,0.0573915001004934,20.954804899170995,space,20.883764699101448,,,,,,,,,,,,,,,,,,,,,,,,,92,1.0,2025-03-11_14h18.07.609,mist,2024.2.4,60.14346646312599,2025-03-11 14h18.12.142137 +0800,
0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,21.09700410068035,,,,,,,,32.51096579991281,32.59700410068035,32.59700410068035,32.59700410068035,32.59700410068035,32.59700410068035,32.59700410068035,32.59700410068035,32.59700410068035,32.59700410068035,32.59700410068035,32.59700410068035,32.59700410068035,32.59700410068035,39.587510999292135,,8 / 5 + 10 / 25 = ?,2.0,39.60121539980173,39.601827500388026,,,,92,1.0,2025-03-11_14h18.07.609,mist,2024.2.4,60.14346646312599,2025-03-11 14h18.12.142137 +0800,
1.0,0.0,1.0,down,4.278338899835944,,1.0,0.0,1.0,0.0,28.212372800335288,,,,,,,,39.62892279960215,39.71237280033529,39.71237280033529,39.71237280033529,39.71237280033529,39.71237280033529,39.71237280033529,39.71237280033529,39.71237280033529,39.71237280033529,39.71237280033529,39.71237280033529,39.71237280033529,39.71237280033529,46.01555529981852,down,(8 * 9) - (21 * 3) = ?,9.0,46.03061000071466,46.03118849918246,4.278338899835944,,,92,1.0,2025-03-11_14h18.07.609,mist,2024.2.4,60.14346646312599,2025-03-11 14h18.12.142137 +0800,
2.0,0.0,2.0,down,3.229625498875976,,2.0,0.0,2.0,0.0,34.625130200758576,,,,,,,,46.04645640030503,46.125130200758576,46.125130200758576,46.125130200758576,46.125130200758576,46.125130200758576,46.125130200758576,46.125130200758576,46.125130200758576,46.125130200758576,46.125130200758576,46.125130200758576,46.125130200758576,46.125130200758576,49.37895279936493,down,20 - 10 - 2 = ?,8.0,49.379242699593306,49.37942560017109,3.229625498875976,,,92,1.0,2025-03-11_14h18.07.609,mist,2024.2.4,60.14346646312599,2025-03-11 14h18.12.142137 +0800,
3.0,0.0,3.0,down,2.5849757995456457,,3.0,0.0,3.0,0.0,37.962471999228,,,,,,,,49.38910719938576,49.462471999228,49.462471999228,49.462471999228,49.462471999228,49.462471999228,49.462471999228,49.462471999228,49.462471999228,49.462471999228,49.462471999228,49.462471999228,49.462471999228,49.462471999228,52.06230079941452,down,6 - 4 + 1 = ?,3.0,52.06260319985449,52.06278429925442,2.5849757995456457,,,92,1.0,2025-03-11_14h18.07.609,mist,2024.2.4,60.14346646312599,2025-03-11 14h18.12.142137 +0800,
4.0,0.0,4.0,,,,4.0,0.0,4.0,0.0,40.6427945997566,,,,,,,,52.069768300279975,52.1427945997566,52.1427945997566,52.1427945997566,52.1427945997566,52.1427945997566,52.1427945997566,52.1427945997566,52.1427945997566,52.1427945997566,52.1427945997566,52.1427945997566,52.1427945997566,52.1427945997566,60.09148949943483,,(3 - 22) + (8 * 3) = ?,5.0,60.1110097002238,60.111646899953485,,,,92,1.0,2025-03-11_14h18.07.609,mist,2024.2.4,60.14346646312599,2025-03-11 14h18.12.142137 +0800,
5.0,0.0,5.0,down,4.039485400542617,,5.0,0.0,5.0,0.0,48.70680420100689,,,,,,,,60.12585709989071,60.20680420100689,60.20680420100689,60.20680420100689,60.20680420100689,60.20680420100689,60.20680420100689,60.20680420100689,60.20680420100689,60.20680420100689,60.20680420100689,60.20680420100689,60.20680420100689,60.20680420100689,66.27410019934177,down,(10 + 26) - (26 + 6) = ?,4.0,66.29096150025725,66.2919107992202,4.039485400542617,,,92,1.0,2025-03-11_14h18.07.609,mist,2024.2.4,60.14346646312599,2025-03-11 14h18.12.142137 +0800,
6.0,0.0,6.0,down,3.694447899237275,,6.0,0.0,6.0,0.0,54.91387250088155,,,,,,,,66.31968230009079,66.41387250088155,66.41387250088155,66.41387250088155,66.41387250088155,66.41387250088155,66.41387250088155,66.41387250088155,66.41387250088155,66.41387250088155,66.41387250088155,66.41387250088155,66.41387250088155,66.41387250088155,70.1195129007101,down,(9 - 3) + (3 - 1) = ?,8.0,70.11981149949133,70.12000389955938,3.694447899237275,,,92,1.0,2025-03-11_14h18.07.609,mist,2024.2.4,60.14346646312599,2025-03-11 14h18.12.142137 +0800,
7.0,0.0,7.0,down,4.4293431006371975,,7.0,0.0,7.0,0.0,58.69989760033786,,,,,,,,70.12697800062597,70.19989760033786,70.19989760033786,70.19989760033786,70.19989760033786,70.19989760033786,70.19989760033786,70.19989760033786,70.19989760033786,70.19989760033786,70.19989760033786,70.19989760033786,70.19989760033786,70.19989760033786,74.65043910034001,down,16 * 4 - 5 * 11 = ?,9.0,74.65076510049403,74.65094389952719,4.4293431006371975,,,92,1.0,2025-03-11_14h18.07.609,mist,2024.2.4,60.14346646312599,2025-03-11 14h18.12.142137 +0800,
8.0,0.0,8.0,,,,8.0,0.0,8.0,0.0,63.23711460083723,,,,,,,,74.6610003001988,74.73711460083723,74.73711460083723,74.73711460083723,74.73711460083723,74.73711460083723,74.73711460083723,74.73711460083723,74.73711460083723,74.73711460083723,74.73711460083723,74.73711460083723,74.73711460083723,74.73711460083723,80.6838002000004,,3 / 2 + 15 / 6 - 2 = ?,2.0,80.70095079950988,80.70180949941278,,,,92,1.0,2025-03-11_14h18.07.609,mist,2024.2.4,60.14346646312599,2025-03-11 14h18.12.142137 +0800,
