thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004668300040066242,0.02585239987820387,0.02585239987820387,0.7729215994477272,space,0.7303913999348879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2025-03-03_11h24.02.285,实验程序1.0,2024.2.4,60.91094744300788,2025-03-03 11h24.12.726994 +0800,
,,,,,,,,,,,,,,,,,,,,,,,0.7859312994405627,0.7859312994405627,space,1.1152900997549295,None,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2025-03-03_11h24.02.285,实验程序1.0,2024.2.4,60.91094744300788,2025-03-03 11h24.12.726994 +0800,
9,0,9,,,,9,0,9,0,,,,,1.9287473000586033,,,,,,,,,,,,,,1.9143960997462273,1.9287473000586033,1.9287473000586033,3.395768699236214,space,1.4526717001572251,None,,,,,,,,,,,,,,,,,,101,001,2025-03-03_11h24.02.285,实验程序1.0,2024.2.4,60.91094744300788,2025-03-03 11h24.12.726994 +0800,
0,0,0,f,0.3224402004852891,None,,,,,0,0,0,0,3.5136126996949315,,,,,,,,,,,,,,,,,,,,,3.500390499830246,3.5136126996949315,4.960849499329925,4.610885499976575,4.960849499329925,7.417033599689603,f,0.3224402004852891,None,0,image2,8,image1,image2,['low'],0.7,0.3,101,001,2025-03-03_11h24.02.285,实验程序1.0,2024.2.4,60.91094744300788,2025-03-03 11h24.12.726994 +0800,
0,0,0,j,0.339695299975574,None,,,,,0,0,0,0,7.467982899397612,,,,,,,,,,,,,,,,,,,,,7.458894299343228,7.467982899397612,8.710557399317622,8.344832099974155,8.710557399317622,10.769526199437678,j,0.339695299975574,None,10,image1,7,image1,image2,"['low', 'high']",0.7,0.3,101,001,2025-03-03_11h24.02.285,实验程序1.0,2024.2.4,60.91094744300788,2025-03-03 11h24.12.726994 +0800,
1,0,1,f,0.3615274000912905,None,,,,,1,0,1,0,10.819708799943328,,,,,,,,,,,,,,,,,,,,,10.810637599788606,10.819708799943328,12.977346299216151,12.594628700055182,12.977346299216151,15.86876229941845,f,0.3615274000912905,None,0,image1,6,image1,image2,"['low', 'high', 'high']",0.7,0.3,101,001,2025-03-03_11h24.02.285,实验程序1.0,2024.2.4,60.91094744300788,2025-03-03 11h24.12.726994 +0800,
2,0,2,f,0.45977799966931343,None,,,,,2,0,2,0,15.918559299781919,,,,,,,,,,,,,,,,,,,,,15.910075400024652,15.918559299781919,17.37734549958259,16.897207899950445,17.37734549958259,19.057596299797297,f,0.45977799966931343,None,10,image1,5,image1,image2,"['low', 'high', 'high', 'high']",0.7,0.3,101,001,2025-03-03_11h24.02.285,实验程序1.0,2024.2.4,60.91094744300788,2025-03-03 11h24.12.726994 +0800,
3,0,3,f,0.44880619924515486,None,,,,,3,0,3,0,19.1652496997267,,,,,,,,,,,,,,,,,,,,,19.156349099241197,19.1652496997267,21.32812639977783,20.860793699510396,21.32812639977783,24.212197300046682,f,0.44880619924515486,None,0,image2,4,image1,image2,"['low', 'high', 'high', 'high', 'low']",0.7,0.3,101,001,2025-03-03_11h24.02.285,实验程序1.0,2024.2.4,60.91094744300788,2025-03-03 11h24.12.726994 +0800,
4,0,4,f,0.6251181997358799,None,,,,,4,0,4,0,24.263669699430466,,,,,,,,,,,,,,,,,,,,,24.254945599474013,24.263669699430466,25.47737109940499,24.827303699217737,,28.31582590006292,f,0.6251181997358799,None,10,image1,3,image1,image2,"['low', 'high', 'high', 'high', 'low', 'high']",0.7,0.3,101,001,2025-03-03_11h24.02.285,实验程序1.0,2024.2.4,60.91094744300788,2025-03-03 11h24.12.726994 +0800,
5,0,5,f,0.3393232002854347,None,,,,,5,0,5,0,28.366261899471283,,,,,,,,,,,,,,,,,,,,,28.35743589978665,28.366261899471283,30.527856200002134,30.161183199845254,30.527856200002134,32.11141929961741,f,0.3393232002854347,None,0,image1,2,image1,image2,"['high', 'high', 'high', 'low', 'high', 'high']",0.7,0.3,101,001,2025-03-03_11h24.02.285,实验程序1.0,2024.2.4,60.91094744300788,2025-03-03 11h24.12.726994 +0800,
