thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,prac_key_resp.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004739300002256641,0.014656700001069112,0.014656700001069112,4.9016632999992,space,4.868276600001991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
,,,,,,,,,,,,,,,,,,,,,,,4.914447800001653,4.914447800001653,space,5.375795400002971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
9,0,9,,,,9,0,9,0,,,,,32.427489600002446,,,,,,,,,,,,,,32.427489600002446,33.2976484000028,32.96470760000011,12.097585400002572,12.097585400002572,j,0.30961870000101044,None,34.76813790000233,34.776624100002664,34.776624100002664,46.2984933000007,space,11.513462399998389,None,,,,,,,,,,,,,,,,,,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
0,0,0,f,0.4583320999990974,None,,,,,0,0,0,0,46.34625330000199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.33612110000104,46.34625330000199,48.11438249999992,48.11438249999992,47.63209810000262,50.73282780000227,f,0.4583320999990974,None,0,image2,5,image1,image2,['low'],0.7,0.3,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
0,0,0,j,1.4060210999996343,None,,,,,0,0,0,0,50.785917000001064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.777335500002664,50.785917000001064,53.597650100000465,53.597650100000465,52.16431419999935,55.34887730000264,j,1.4060210999996343,None,10,image1,4,image1,image2,"['low', 'high']",0.7,0.3,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
1,0,1,j,0.560258800000156,None,,,,,1,0,1,0,55.40040829999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.391943300001,55.40040829999998,56.69773400000122,56.69773400000122,56.11446070000238,59.439296399999876,j,0.560258800000156,None,10,image1,3,image1,image2,"['low', 'high', 'high']",0.7,0.3,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
2,0,2,f,0.6152466999992612,None,,,,,2,0,2,0,59.493606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.485178999999334,59.493606,61.581071799999336,61.581071799999336,60.9475065000006,63.77453570000216,f,0.6152466999992612,None,10,image1,2,image1,image2,"['low', 'high', 'high', 'high']",0.7,0.3,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
3,0,3,j,0.6725368999977945,None,,,,,3,0,3,0,63.87854700000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.8699861999994,63.87854700000025,65.8141852000008,65.8141852000008,65.1143043000011,67.88549780000176,j,0.6725368999977945,None,0,image2,1,image1,image2,"['low', 'high', 'high', 'high', 'low']",0.7,0.3,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
4,0,4,j,0.710685400001239,None,,,,,4,0,4,0,67.93900000000212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.93045880000136,67.93900000000212,69.29798460000166,69.29798460000166,68.56436920000124,71.87616100000014,j,0.710685400001239,None,10,image1,0,image1,image2,"['low', 'high', 'high', 'high', 'low', 'high']",0.7,0.3,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
5,0,5,j,0.5628726999966602,None,,,,,5,0,5,0,71.92150330000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.91311390000192,71.92150330000004,73.8309259000016,73.8309259000016,73.247769900001,75.44934410000133,j,0.5628726999966602,None,10,image1,8,image2,image1,[],0.3,0.7,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
6,0,6,f,0.42297619999953895,None,,,,,6,0,6,0,75.50125480000133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.49274670000159,75.50125480000133,77.96446790000118,77.96446790000118,77.51436699999977,80.31444120000015,f,0.42297619999953895,None,0,image1,7,image2,image1,['low'],0.3,0.7,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
7,0,7,j,0.6593008999989252,None,,,,,7,0,7,0,80.4087505000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.40068450000035,80.4087505000025,82.71448349999991,82.71448349999991,82.03100750000158,85.50417709999965,j,0.6593008999989252,None,10,image2,6,image2,image1,"['low', 'high']",0.3,0.7,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
8,0,8,f,0.7826112000002468,None,,,,,8,0,8,0,85.55766210000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.54935359999945,85.55766210000002,86.94759730000078,86.94759730000078,86.14756530000159,88.56147450000208,f,0.7826112000002468,None,10,image2,5,image2,image1,"['low', 'high', 'high']",0.3,0.7,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
9,0,9,j,0.532061199999589,None,,,,,9,0,9,0,88.61460390000138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.60594309999942,88.61460390000138,90.1649596999996,90.1649596999996,89.61424900000202,92.55157139999937,j,0.532061199999589,None,0,image2,4,image2,image1,"['low', 'high', 'high', 'high']",0.3,0.7,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
10,0,10,j,0.48851099999956205,None,,,,,10,0,10,0,92.60731730000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.59907310000199,92.60731730000043,94.61442050000187,94.61442050000187,94.09751719999986,96.30011780000132,j,0.48851099999956205,None,10,image1,3,image2,image1,"['low', 'high', 'high', 'high', 'low']",0.3,0.7,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
11,0,11,j,0.7783239999989746,None,,,,,11,0,11,0,96.35487470000226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.34661410000263,96.35487470000226,98.4309925000016,98.4309925000016,97.63102040000012,100.3226211000001,j,0.7783239999989746,None,0,image1,2,image2,image1,"['low', 'high', 'high', 'high', 'low', 'low']",0.3,0.7,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
12,0,12,f,0.4516404000023613,None,,,,,12,0,12,0,100.42305810000107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4148309000011,100.42305810000107,102.31423039999936,102.31423039999936,101.83103250000204,105.26440720000028,f,0.4516404000023613,None,10,image2,1,image2,image1,"['high', 'high', 'high', 'low', 'low', 'high']",0.3,0.7,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
13,0,13,j,0.8353710999981558,None,,,,,13,0,13,0,105.3109566000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.3024734999999,105.3109566000021,107.08122630000071,107.08122630000071,106.2143778000027,109.35130070000014,j,0.8353710999981558,None,10,image2,0,image2,image1,"['high', 'high', 'low', 'low', 'high', 'high']",0.3,0.7,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
14,0,14,j,0.46303140000236453,None,,,,,14,0,14,0,109.40636920000179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.39791669999977,109.40636920000179,,110.61438230000203,110.13114430000132,113.38511669999934,j,0.46303140000236453,None,10,image2,-1,image2,image1,"['high', 'low', 'low', 'high', 'high', 'high']",0.3,0.7,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
15,0,15,j,0.5558918000024278,None,,,,,15,0,15,0,113.43718590000208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.4289005999999,113.43718590000208,115.19762950000222,115.19762950000222,114.61448630000086,116.87045720000242,j,0.5558918000024278,None,10,image2,-2,image2,image1,"['low', 'low', 'high', 'high', 'high', 'high']",0.3,0.7,020,001,2024-11-14_15h54.26.585,实验程序1.0,2024.2.4,59.98972975775671,2024-11-14 15h54.39.405245 +0800,
