thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,prac_key_resp.stopped,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004630299998098053,0.02016449999791803,0.02016449999791803,3.0079896000024746,space,2.9724646999966353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,024,001,2024-11-14_20h46.24.627,实验程序1.0,2024.2.4,60.04379594447248,2024-11-14 20h46.36.173427 +0800,
,,,,,,,,,,,,,,,,,,,,,,,3.020709700002044,3.020709700002044,space,3.8118596999993315,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,024,001,2024-11-14_20h46.24.627,实验程序1.0,2024.2.4,60.04379594447248,2024-11-14 20h46.36.173427 +0800,
9,0,9,,,,9,0,9,0,,,,,30.969403499999316,,,,,,,,,,,,,,30.969403499999316,31.753548000000592,31.503969799996412,26.98693529999582,j,0.2251968000055058,None,11.736842599995725,33.22358079999685,33.234251299996686,33.234251299996686,35.954737599997316,space,2.7177920999965863,None,,,,,,,,,,,,,,,,,,024,001,2024-11-14_20h46.24.627,实验程序1.0,2024.2.4,60.04379594447248,2024-11-14 20h46.36.173427 +0800,
0,0,0,f,0.8031857000023592,None,,,,,0,0,0,0,36.00667930000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.996329000001424,36.00667930000054,37.65361149999808,36.82042389999697,37.65361149999808,39.42011330000241,f,0.8031857000023592,None,10,image1,10,image1,image2,['high'],0.7,0.3,024,001,2024-11-14_20h46.24.627,实验程序1.0,2024.2.4,60.04379594447248,2024-11-14 20h46.36.173427 +0800,
0,0,0,f,0.2682580000036978,None,,,,,0,0,0,0,39.479120500000136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.47091260000161,39.479120500000136,40.90364910000062,40.60374669999874,40.90364910000062,42.89298769999732,f,0.2682580000036978,None,0,image1,9,image1,image2,"['high', 'high']",0.7,0.3,024,001,2024-11-14_20h46.24.627,实验程序1.0,2024.2.4,60.04379594447248,2024-11-14 20h46.36.173427 +0800,
1,0,1,f,0.4208762000052957,None,,,,,1,0,1,0,42.95300419999694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.944685099995695,42.95300419999694,44.036873600001854,43.586927399999695,,45.70364479999989,f,0.4208762000052957,None,10,image1,8,image1,image2,"['high', 'high', 'high']",0.7,0.3,024,001,2024-11-14_20h46.24.627,实验程序1.0,2024.2.4,60.04379594447248,2024-11-14 20h46.36.173427 +0800,
2,0,2,j,0.3518141000022297,None,,,,,2,0,2,0,45.76346680000279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.75517209999816,45.76346680000279,47.120233499997994,46.73696940000082,47.120233499997994,49.054064899995865,j,0.3518141000022297,None,10,image2,7,image1,image2,"['high', 'high', 'high', 'low']",0.7,0.3,024,001,2024-11-14_20h46.24.627,实验程序1.0,2024.2.4,60.04379594447248,2024-11-14 20h46.36.173427 +0800,
3,0,3,f,0.5726187000036589,None,,,,,3,0,3,0,49.16101630000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.15291019999859,49.16101630000048,51.60355790000176,51.003739799998584,51.60355790000176,53.39890419999574,f,0.5726187000036589,None,0,image2,6,image1,image2,"['high', 'high', 'high', 'low', 'low']",0.7,0.3,024,001,2024-11-14_20h46.24.627,实验程序1.0,2024.2.4,60.04379594447248,2024-11-14 20h46.36.173427 +0800,
4,0,4,f,0.6907530000025872,None,,,,,4,0,4,0,53.44825129999663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.44003959999827,53.44825129999663,54.95371300000261,54.23702169999888,54.95371300000261,56.54575350000232,f,0.6907530000025872,None,0,image1,5,image1,image2,"['high', 'high', 'high', 'low', 'low', 'high']",0.7,0.3,024,001,2024-11-14_20h46.24.627,实验程序1.0,2024.2.4,60.04379594447248,2024-11-14 20h46.36.173427 +0800,
5,0,5,j,0.25214739999501035,None,,,,,5,0,5,0,56.60413210000115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.595876899998984,56.60413210000115,58.48695990000124,58.20373219999601,58.48695990000124,61.1171480999983,j,0.25214739999501035,None,0,image2,4,image1,image2,"['high', 'high', 'low', 'low', 'high', 'low']",0.7,0.3,024,001,2024-11-14_20h46.24.627,实验程序1.0,2024.2.4,60.04379594447248,2024-11-14 20h46.36.173427 +0800,
