thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,prac_key_resp.stopped,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,image1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.005105700001877267,0.024785800000245217,0.024785800000245217,3.578731000001426,space,3.54440969999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,027,001,2024-11-14_14h45.27.243,实验程序1.0,2024.2.4,60.057318705324704,2024-11-14 14h45.37.992620 +0800,
,,,,,,,,,,,,,,,,,,,,,,,3.5911038000012923,3.5911038000012923,space,2.5546231999978772,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,027,001,2024-11-14_14h45.27.243,实验程序1.0,2024.2.4,60.057318705324704,2024-11-14 14h45.37.992620 +0800,
9,0,9,,,,9,0,9,0,,,,,31.73667209999985,,,,,,,,,,,,,,31.73667209999985,33.52454410000064,32.27473269999973,33.52454410000064,None,0.49962909999885596,None,33.52454410000064,34.52811940000174,34.537264100003085,34.537264100003085,37.008848299999954,space,2.4560368999991624,None,,,,,,,,,,,,,,,,,,027,001,2024-11-14_14h45.27.243,实验程序1.0,2024.2.4,60.057318705324704,2024-11-14 14h45.37.992620 +0800,
0,0,0,f,0.5680737000002409,None,,,,,0,0,0,0,37.05772740000248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.047691900002974,37.05772740000248,38.25783760000195,37.65806280000106,40.661730499999976,f,0.5680737000002409,None,0,image2,7,image1,image2,['low'],0.7,0.3,,027,001,2024-11-14_14h45.27.243,实验程序1.0,2024.2.4,60.057318705324704,2024-11-14 14h45.37.992620 +0800,
0,0,0,f,0.7532749999991211,None,,,,,0,0,0,0,40.71845320000284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7100500000015,40.71845320000284,43.391254400001344,42.60793200000262,45.795208999999886,f,0.7532749999991211,None,10,image2,6,image1,image2,"['low', 'low']",0.7,0.3,43.391254400001344,027,001,2024-11-14_14h45.27.243,实验程序1.0,2024.2.4,60.057318705324704,2024-11-14 14h45.37.992620 +0800,
1,0,1,f,1.0268636999971932,None,,,,,1,0,1,0,45.847022100002505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.838479500001995,45.847022100002505,48.42470619999949,47.374701800003095,50.46665550000034,f,1.0268636999971932,None,10,image1,5,image1,image2,"['low', 'low', 'high']",0.7,0.3,48.42470619999949,027,001,2024-11-14_14h45.27.243,实验程序1.0,2024.2.4,60.057318705324704,2024-11-14 14h45.37.992620 +0800,
2,0,2,j,1.118322199999966,None,,,,,2,0,2,0,50.51312990000224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.50479090000226,50.51312990000224,52.62451330000113,51.47449950000009,54.112371999999596,j,1.118322199999966,None,10,image2,4,image1,image2,"['low', 'low', 'high', 'low']",0.7,0.3,52.62451330000113,027,001,2024-11-14_14h45.27.243,实验程序1.0,2024.2.4,60.057318705324704,2024-11-14 14h45.37.992620 +0800,
3,0,3,f,0.9668989000019792,None,,,,,3,0,3,0,54.21091610000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.20261830000163,54.21091610000076,56.858220100002654,55.874412799999845,59.303290600000764,f,0.9668989000019792,None,10,image1,3,image1,image2,"['low', 'low', 'high', 'low', 'high']",0.7,0.3,56.858220100002654,027,001,2024-11-14_14h45.27.243,实验程序1.0,2024.2.4,60.057318705324704,2024-11-14 14h45.37.992620 +0800,
4,0,4,j,0.6521281000023009,None,,,,,4,0,4,0,59.35601790000146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.34744540000247,59.35601790000146,61.808007600000565,61.12461700000131,63.42588560000149,j,0.6521281000023009,None,0,image2,2,image1,image2,"['low', 'low', 'high', 'low', 'high', 'low']",0.7,0.3,61.808007600000565,027,001,2024-11-14_14h45.27.243,实验程序1.0,2024.2.4,60.057318705324704,2024-11-14 14h45.37.992620 +0800,
5,0,5,j,1.1280493000012939,None,,,,,5,0,5,0,63.476897600001394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.46836220000114,63.476897600001394,65.19127070000104,64.04128700000001,66.72850319999998,j,1.1280493000012939,None,10,image1,1,image1,image2,"['low', 'high', 'low', 'high', 'low', 'high']",0.7,0.3,65.19127070000104,027,001,2024-11-14_14h45.27.243,实验程序1.0,2024.2.4,60.057318705324704,2024-11-14 14h45.37.992620 +0800,
6,0,6,None,,,,,,,6,0,6,0,66.77977319999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.77142410000306,66.77977319999991,69.85795780000262,68.62466520000089,70.85919730000023,None,,,,,,,,,,,69.85795780000262,027,001,2024-11-14_14h45.27.243,实验程序1.0,2024.2.4,60.057318705324704,2024-11-14 14h45.37.992620 +0800,
7,0,7,f,0.5393331999985094,None,,,,,7,0,7,0,70.9609651000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.95273440000165,70.9609651000028,72.74109310000131,72.17453860000023,74.21109140000044,f,0.5393331999985094,None,0,image2,0,image1,image2,"['high', 'low', 'high', 'low', 'high', 'low']",0.7,0.3,72.74109310000131,027,001,2024-11-14_14h45.27.243,实验程序1.0,2024.2.4,60.057318705324704,2024-11-14 14h45.37.992620 +0800,
8,0,8,f,0.5220983999970485,None,,,,,8,0,8,0,74.26333570000133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.25501260000237,74.26333570000133,76.3412707000025,75.79119540000102,78.55660030000217,f,0.5220983999970485,None,0,image2,-1,image1,image2,"['low', 'high', 'low', 'high', 'low', 'low']",0.7,0.3,76.3412707000025,027,001,2024-11-14_14h45.27.243,实验程序1.0,2024.2.4,60.057318705324704,2024-11-14 14h45.37.992620 +0800,
9,0,9,f,1.155595500000345,None,,,,,9,0,9,0,78.61096570000154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.60244500000044,78.61096570000154,81.14124670000092,79.95792060000167,83.69017300000269,f,1.155595500000345,None,0,image1,-2,image1,image2,"['high', 'low', 'high', 'low', 'low', 'high']",0.7,0.3,81.14124670000092,027,001,2024-11-14_14h45.27.243,实验程序1.0,2024.2.4,60.057318705324704,2024-11-14 14h45.37.992620 +0800,
10,0,10,j,0.5279284999996889,None,,,,,10,0,10,0,83.74590680000256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.73709990000134,83.74590680000256,85.20803530000194,84.65793390000181,87.13432699999976,j,0.5279284999996889,None,10,image2,-3,image1,image2,"['low', 'high', 'low', 'low', 'high', 'low']",0.7,0.3,85.20803530000194,027,001,2024-11-14_14h45.27.243,实验程序1.0,2024.2.4,60.057318705324704,2024-11-14 14h45.37.992620 +0800,
11,0,11,j,0.6085592999988876,None,,,,,11,0,11,0,87.18749720000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.1791916000002,87.18749720000051,89.25790390000111,88.62463539999953,91.60428250000041,j,0.6085592999988876,None,10,image2,-4,image1,image2,"['high', 'low', 'low', 'high', 'low', 'low']",0.7,0.3,89.25790390000111,027,001,2024-11-14_14h45.27.243,实验程序1.0,2024.2.4,60.057318705324704,2024-11-14 14h45.37.992620 +0800,
