thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,prac_image1.stopped,prac_key_resp.stopped,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.003068400000074689,0.007755800000040836,0.007755800000040836,1.4801299000000654,space,1.4602750999999898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,001,2024-11-19_11h11.41.355,实验程序1.0,2024.2.4,59.982497107397805,2024-11-19 11h11.54.392488 +0800,
,,,,,,,,,,,,,,,,,,,,,,,1.490421200000128,1.490421200000128,space,1.7534330999999383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,001,2024-11-19_11h11.41.355,实验程序1.0,2024.2.4,59.982497107397805,2024-11-19 11h11.54.392488 +0800,
9,0,9,,,,9,0,9,0,,,,,27.3617634000002,,,,,,,,,,,,,,27.3617634000002,28.353502400000025,27.903504200000043,f,0.41984930000012355,None,16.402889200000118,10.736073100000112,29.82045660000017,29.828303900000037,29.828303900000037,31.471004900000025,space,1.6397452999999587,None,,,,,,,,,,,,,,,,,,28,001,2024-11-19_11h11.41.355,实验程序1.0,2024.2.4,59.982497107397805,2024-11-19 11h11.54.392488 +0800,
0,0,0,f,0.4215993000000253,None,,,,,0,0,0,0,31.523767099999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.515201600000182,31.523767099999986,32.93688259999999,32.48662030000014,32.93688259999999,34.59014470000011,f,0.4215993000000253,None,10,image1,9,image1,image2,['high'],0.7,0.3,28,001,2024-11-19_11h11.41.355,实验程序1.0,2024.2.4,59.982497107397805,2024-11-19 11h11.54.392488 +0800,
0,0,0,f,0.29585819999988416,None,,,,,0,0,0,0,34.641665600000124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.634658400000035,34.641665600000124,35.93690290000018,35.620251199999984,35.93690290000018,37.654890300000034,f,0.29585819999988416,None,0,image1,8,image1,image2,"['high', 'high']",0.7,0.3,28,001,2024-11-19_11h11.41.355,实验程序1.0,2024.2.4,59.982497107397805,2024-11-19 11h11.54.392488 +0800,
1,0,1,f,0.37036960000000363,None,,,,,1,0,1,0,37.70473140000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.69748249999998,37.70473140000013,40.13696180000011,39.73688600000014,40.13696180000011,42.2047484000002,f,0.37036960000000363,None,0,image2,7,image1,image2,"['high', 'high', 'low']",0.7,0.3,28,001,2024-11-19_11h11.41.355,实验程序1.0,2024.2.4,59.982497107397805,2024-11-19 11h11.54.392488 +0800,
2,0,2,f,0.33717120000005707,None,,,,,2,0,2,0,42.24769450000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.240724,42.24769450000008,43.953585299999986,43.58702630000016,43.953585299999986,45.733748100000184,f,0.33717120000005707,None,10,image1,6,image1,image2,"['high', 'high', 'low', 'high']",0.7,0.3,28,001,2024-11-19_11h11.41.355,实验程序1.0,2024.2.4,59.982497107397805,2024-11-19 11h11.54.392488 +0800,
3,0,3,j,0.36752630000000863,None,,,,,3,0,3,0,45.83270070000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.82545890000006,45.83270070000003,47.203580500000044,46.803630399999975,47.203580500000044,50.0900422000002,j,0.36752630000000863,None,10,image1,5,image1,image2,"['high', 'high', 'low', 'high', 'high']",0.7,0.3,28,001,2024-11-19_11h11.41.355,实验程序1.0,2024.2.4,59.982497107397805,2024-11-19 11h11.54.392488 +0800,
4,0,4,f,0.3323413000000528,None,,,,,4,0,4,0,50.141145800000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.133979400000044,50.141145800000004,51.653591300000016,51.30349060000003,51.653591300000016,53.38863740000011,f,0.3323413000000528,None,10,image1,4,image1,image2,"['high', 'high', 'low', 'high', 'high', 'high']",0.7,0.3,28,001,2024-11-19_11h11.41.355,实验程序1.0,2024.2.4,59.982497107397805,2024-11-19 11h11.54.392488 +0800,
5,0,5,f,0.3858284000000367,None,,,,,5,0,5,0,53.433839499999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.426485500000126,53.433839499999976,55.77034030000004,55.353625700000066,55.77034030000004,58.04037870000002,f,0.3858284000000367,None,10,image1,3,image1,image2,"['high', 'low', 'high', 'high', 'high', 'high']",0.7,0.3,28,001,2024-11-19_11h11.41.355,实验程序1.0,2024.2.4,59.982497107397805,2024-11-19 11h11.54.392488 +0800,
