thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.005286399275064468,0.01978199928998947,0.01978199928998947,5.268446100875735,space,5.232757400721312,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,001,2024-11-15_15h45.36.511,实验程序1.0,2024.2.4,60.006793016292825,2024-11-15 15h45.48.605118 +0800,
,,,,,,,,,,,,,,,,,,,,,,,5.280151799321175,5.280151799321175,space,3.4846675992012024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,001,2024-11-15_15h45.36.511,实验程序1.0,2024.2.4,60.006793016292825,2024-11-15 15h45.48.605118 +0800,
9,0,9,,,,9,0,9,0,,,,,31.449885200709105,,,,,,,,,,,,,,31.449885200709105,32.56990800052881,31.986776700243354,15.203281799331307,f,0.5554740000516176,None,34.041758600622416,34.05194300040603,34.05194300040603,39.05450149998069,space,4.985886299982667,None,,,,,,,,,,,,,,,,,,29,001,2024-11-15_15h45.36.511,实验程序1.0,2024.2.4,60.006793016292825,2024-11-15 15h45.48.605118 +0800,
0,0,0,j,0.42333880066871643,None,,,,,0,0,0,0,39.10863020084798,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.09857439994812,39.10863020084798,41.337101900950074,41.337101900950074,40.886654399335384,43.17839200049639,j,0.42333880066871643,None,10,image1,1,image1,image2,['high'],0.7,0.3,29,001,2024-11-15_15h45.36.511,实验程序1.0,2024.2.4,60.006793016292825,2024-11-15 15h45.48.605118 +0800,
0,0,0,j,0.40820709988474846,None,,,,,0,0,0,0,43.23129200004041,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.22124480083585,43.23129200004041,44.65615940093994,44.65615940093994,44.22021839953959,46.82892180047929,j,0.40820709988474846,None,10,image1,0,image1,image2,"['high', 'high']",0.7,0.3,29,001,2024-11-15_15h45.36.511,实验程序1.0,2024.2.4,60.006793016292825,2024-11-15 15h45.48.605118 +0800,
1,0,1,j,0.4589125011116266,None,,,,,1,0,1,0,46.88087620027363,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.87184190005064,46.88087620027363,48.23671180009842,48.23671180009842,47.75333650037646,50.56583720073104,j,0.4589125011116266,None,10,image1,-1,image1,image2,"['high', 'high', 'high']",0.7,0.3,29,001,2024-11-15_15h45.36.511,实验程序1.0,2024.2.4,60.006793016292825,2024-11-15 15h45.48.605118 +0800,
2,0,2,j,0.29144260101020336,None,,,,,2,0,2,0,50.61748420074582,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.60850000008941,50.61748420074582,52.85348339937627,52.85348339937627,52.5372656006366,55.50005600042641,j,0.29144260101020336,None,0,image1,-2,image1,image2,"['high', 'high', 'high', 'high']",0.7,0.3,29,001,2024-11-15_15h45.36.511,实验程序1.0,2024.2.4,60.006793016292825,2024-11-15 15h45.48.605118 +0800,
3,0,3,f,0.45511130057275295,None,,,,,3,0,3,0,55.609017699956894,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.60028059966862,55.609017699956894,,56.75314640067518,56.26987089961767,58.4153106007725,f,0.45511130057275295,None,0,image2,-3,image1,image2,"['high', 'high', 'high', 'high', 'low']",0.7,0.3,29,001,2024-11-15_15h45.36.511,实验程序1.0,2024.2.4,60.006793016292825,2024-11-15 15h45.48.605118 +0800,
4,0,4,f,0.4812129996716976,None,,,,,4,0,4,0,58.46807339973748,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.45896360091865,58.46807339973748,60.136436400935054,60.136436400935054,59.63700659945607,62.359796300530434,f,0.4812129996716976,None,10,image1,6,image2,image1,[],0.3,0.7,29,001,2024-11-15_15h45.36.511,实验程序1.0,2024.2.4,60.006793016292825,2024-11-15 15h45.48.605118 +0800,
5,0,5,f,0.35194849967956543,None,,,,,5,0,5,0,62.41184649989009,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.40258710086346,62.41184649989009,64.20320379920304,64.20320379920304,63.82024049945176,67.14872699975967,f,0.35194849967956543,None,0,image1,5,image2,image1,['low'],0.3,0.7,29,001,2024-11-15_15h45.36.511,实验程序1.0,2024.2.4,60.006793016292825,2024-11-15 15h45.48.605118 +0800,
6,0,6,j,0.4900311008095741,None,,,,,6,0,6,0,67.20244700089097,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.19240020029247,67.20244700089097,69.30341289937496,69.30341289937496,68.78675420023501,71.15621620044112,j,0.4900311008095741,None,0,image1,4,image2,image1,"['low', 'low']",0.3,0.7,29,001,2024-11-15_15h45.36.511,实验程序1.0,2024.2.4,60.006793016292825,2024-11-15 15h45.48.605118 +0800,
7,0,7,f,0.35462789982557297,None,,,,,7,0,7,0,71.26675309985876,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.25744299963117,71.26675309985876,72.96985490061343,72.96985490061343,72.58681770041585,74.5995525997132,f,0.35462789982557297,None,0,image1,3,image2,image1,"['low', 'low', 'low']",0.3,0.7,29,001,2024-11-15_15h45.36.511,实验程序1.0,2024.2.4,60.006793016292825,2024-11-15 15h45.48.605118 +0800,
8,0,8,f,0.46665369905531406,None,,,,,8,0,8,0,74.65170479938388,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.64224090054631,74.65170479938388,76.06985210068524,76.06985210068524,75.5867088008672,77.81099510006607,f,0.46665369905531406,None,10,image2,2,image2,image1,"['low', 'low', 'low', 'high']",0.3,0.7,29,001,2024-11-15_15h45.36.511,实验程序1.0,2024.2.4,60.006793016292825,2024-11-15 15h45.48.605118 +0800,
9,0,9,j,0.4119889996945858,None,,,,,9,0,9,0,77.86338710039854,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.85423780046403,77.86338710039854,,78.96980609931052,78.5370266996324,80.90927159972489,j,0.4119889996945858,None,10,image1,1,image2,image1,"['low', 'low', 'low', 'high', 'low']",0.3,0.7,29,001,2024-11-15_15h45.36.511,实验程序1.0,2024.2.4,60.006793016292825,2024-11-15 15h45.48.605118 +0800,
