thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,prac_key_resp.stopped,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004667900007916614,0.01368930000171531,0.01368930000171531,4.068944800004829,space,4.016926299998886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
,,,,,,,,,,,,,,,,,,,,,,,4.079473899997538,4.079473899997538,space,5.535869400002412,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
9,0,9,,,,9,0,9,0,,,,,32.37637070000346,,,,,,,,,,,,,,32.37637070000346,34.16242819999752,32.91249869999592,34.16242819999752,None,0.4823003999918001,None,34.16242819999752,35.163972399997874,35.172983500000555,35.172983500000555,41.4468429999979,space,6.2576556999993045,None,,,,,,,,,,,,,,,,,,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
0,0,0,f,0.5716819999943255,None,,,,,0,0,0,0,41.499922899995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.49024339999596,41.499922899995,43.57911740000418,43.57911740000418,42.97911240000394,45.21542639999825,f,0.5716819999943255,None,0,image1,6,image2,image1,['low'],0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
0,0,0,j,0.3664820999983931,None,,,,,0,0,0,0,45.26794649999647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.25853449999704,45.26794649999647,46.86255859999801,46.86255859999801,46.479483200004324,48.39073970000027,j,0.3664820999983931,None,10,image2,5,image2,image1,"['low', 'high']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
1,0,1,j,0.41398660000413656,None,,,,,1,0,1,0,48.4422854000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.43324149999535,48.4422854000004,49.762558200003696,49.762558200003696,49.32969860000594,52.09815859999799,j,0.41398660000413656,None,10,image2,4,image2,image1,"['low', 'high', 'high']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
2,0,2,f,0.38966960000107065,None,,,,,2,0,2,0,52.14965980000852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.14095359999919,52.14965980000852,,53.11275840000599,52.69619030000467,55.32493869999598,f,0.38966960000107065,None,0,image2,3,image2,image1,"['low', 'high', 'high', 'high']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
3,0,3,j,0.530898500001058,None,,,,,3,0,3,0,55.443596800003434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4340777000034,55.443596800003434,57.712526200004504,57.712526200004504,57.16328100000101,60.25721979999798,j,0.530898500001058,None,0,image1,2,image2,image1,"['low', 'high', 'high', 'high', 'low']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
4,0,4,j,0.45981689999462105,None,,,,,4,0,4,0,60.30712409999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.29842190000636,60.30712409999978,61.62955870000587,61.62955870000587,61.14596840000013,63.283450999995694,j,0.45981689999462105,None,0,image2,1,image2,image1,"['low', 'high', 'high', 'high', 'low', 'high']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
5,0,5,j,0.5420910000102594,None,,,,,5,0,5,0,63.336694600002375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.32773370000359,63.336694600002375,65.44595449999906,65.44595449999906,64.87959870000486,68.36326179999742,j,0.5420910000102594,None,0,image1,0,image2,image1,"['high', 'high', 'high', 'low', 'high', 'low']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
6,0,6,f,0.49778479999804404,None,,,,,6,0,6,0,68.41490299999714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.40589950000867,68.41490299999714,70.74585419999494,70.74585419999494,70.2294253,73.2727184999967,f,0.49778479999804404,None,0,image2,-1,image2,image1,"['high', 'high', 'low', 'high', 'low', 'high']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
7,0,7,f,0.38837709999643266,None,,,,,7,0,7,0,73.38144260000263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.37241440000071,73.38144260000263,74.94599609999568,74.94599609999568,74.52971450000769,76.54437489999691,f,0.38837709999643266,None,0,image1,-2,image2,image1,"['high', 'low', 'high', 'low', 'high', 'low']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
8,0,8,f,0.3186420999991242,None,,,,,8,0,8,0,76.59549140000308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.58683400000155,76.59549140000308,78.19644490000792,78.19644490000792,77.84664030000567,80.9466173999972,f,0.3186420999991242,None,10,image1,-3,image2,image1,"['low', 'high', 'low', 'high', 'low', 'low']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
9,0,9,f,0.5523266000091098,None,,,,,9,0,9,0,80.99860510000144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.9894423000078,80.99860510000144,82.41241020000598,82.41241020000598,81.82923430000665,84.1852632000082,f,0.5523266000091098,None,10,image2,-4,image2,image1,"['high', 'low', 'high', 'low', 'low', 'high']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
10,0,10,j,0.6189995000022464,None,,,,,10,0,10,0,84.2386761999951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.22796730000118,84.2386761999951,85.84595800000534,85.84595800000534,85.19592460000422,87.39462300000014,j,0.6189995000022464,None,10,image1,-5,image2,image1,"['low', 'high', 'low', 'low', 'high', 'low']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
11,0,11,j,0.6122388000076171,None,,,,,11,0,11,0,87.44569870000123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.43656689999625,87.44569870000123,89.37928409999586,89.37928409999586,88.7457402,91.98075149999931,j,0.6122388000076171,None,0,image2,-6,image2,image1,"['high', 'low', 'low', 'high', 'low', 'high']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
12,0,12,j,0.5315823999990243,None,,,,,12,0,12,0,92.08880440000212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.07999600000039,92.08880440000212,94.54593439999735,94.54593439999735,93.99589200000628,97.40262330000405,j,0.5315823999990243,None,0,image1,-7,image2,image1,"['low', 'low', 'high', 'low', 'high', 'low']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
13,0,13,j,0.30738949999795295,None,,,,,13,0,13,0,97.4548436000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.44567860000825,97.4548436000041,99.49582150000788,99.49582150000788,99.16249430000607,101.77345760000753,j,0.30738949999795295,None,10,image2,-8,image2,image1,"['low', 'high', 'low', 'high', 'low', 'high']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
14,0,14,j,0.5317743000050541,None,,,,,14,0,14,0,101.82683000000543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.81641699999454,101.82683000000543,103.54606900000363,103.54606900000363,102.9960332000046,106.41695260000415,j,0.5317743000050541,None,0,image2,-9,image2,image1,"['high', 'low', 'high', 'low', 'high', 'high']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
15,0,15,j,0.4487181000004057,None,,,,,15,0,15,0,106.46842420000758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4594511000032,106.46842420000758,108.89572549999866,108.89572549999866,108.42910670000128,111.44567270000698,j,0.4487181000004057,None,0,image2,-10,image2,image1,"['low', 'high', 'low', 'high', 'high', 'high']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
16,0,16,f,1.000161300005857,None,,,,,16,0,16,0,111.5542473999958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.54536899999948,111.5542473999958,113.66344129999925,113.66344129999925,112.64575260000129,116.17152849999547,f,1.000161300005857,None,0,image1,-11,image2,image1,"['high', 'low', 'high', 'high', 'high', 'low']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
17,0,17,j,0.6858025000110501,None,,,,,17,0,17,0,116.22235809999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.21354739999515,116.22235809999984,118.41277880000416,118.41277880000416,117.69642210000893,120.18371650000336,j,0.6858025000110501,None,0,image1,-12,image2,image1,"['low', 'high', 'high', 'high', 'low', 'low']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
18,0,18,f,1.8442073000042,None,,,,,18,0,18,0,120.23580840000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.22711150000396,120.23580840000068,123.61310470000899,123.61310470000899,121.74583220000204,125.9488943000033,f,1.8442073000042,None,10,image1,-13,image2,image1,"['high', 'high', 'high', 'low', 'low', 'low']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
19,0,19,j,0.3233143999968888,None,,,,,19,0,19,0,126.0011860000086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.99143740000727,126.0011860000086,127.91236519999802,127.91236519999802,127.56238709999889,129.8720292000071,j,0.3233143999968888,None,10,image2,-14,image2,image1,"['high', 'high', 'low', 'low', 'low', 'high']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
20,0,20,j,0.4990770000003977,None,,,,,20,0,20,0,129.92254800000228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.91399620000448,129.92254800000228,131.27908259999822,131.27908259999822,130.7629872999969,133.8558495000034,j,0.4990770000003977,None,10,image1,-15,image2,image1,"['high', 'low', 'low', 'low', 'high', 'low']",0.3,0.7,43,001,2024-11-16_20h19.48.193,实验程序1.0,2024.2.4,59.92599139867708,2024-11-16 20h20.13.297082 +0800,
