thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.005649701,0.018647,0.018647,14.185872,space,14.1598066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,1,2024-11-15_11h03.30.462,实验程序1.0,2024.2.4,59.97936705,2024-11-15 11h04.12.927257 +0800
,,,,,,,,,,,,,,,,,,,,,,,14.2007592,14.2007592,space,10.425215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,1,2024-11-15_11h03.30.462,实验程序1.0,2024.2.4,59.97936705,2024-11-15 11h04.12.927257 +0800
9,0,9,,,,9,0,9,0,,,,,48.0618826,,,,,,,,,,,,,,48.0618826,49.0180693,48.6006201,39.1508975,f,0.384803299,None,50.488995,50.4984942,50.4984942,53.9353159,space,3.4245278,None,,,,,,,,,,,,,,,,,,45,1,2024-11-15_11h03.30.462,实验程序1.0,2024.2.4,59.97936705,2024-11-15 11h04.12.927257 +0800
0,0,0,None,,,,,,,0,0,0,0,53.990215,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9794942,53.990215,56.5179603,56.5179603,55.2842498,57.520072,None,,,,,,,,,,,45,1,2024-11-15_11h03.30.462,实验程序1.0,2024.2.4,59.97936705,2024-11-15 11h04.12.927257 +0800
0,0,0,f,0.432038501,None,,,,,0,0,0,0,57.574396,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5651915,57.574396,59.4705229,59.4705229,59.0175408,61.649308,f,0.432038501,None,10,image2,5,image2,image1,['high'],0.3,0.7,45,1,2024-11-15_11h03.30.462,实验程序1.0,2024.2.4,59.97936705,2024-11-15 11h04.12.927257 +0800
1,0,1,f,0.395201599,None,,,,,1,0,1,0,61.7015496,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.6917984,61.7015496,63.1844073,63.1844073,62.7673942,65.5597305,f,0.395201599,None,10,image2,4,image2,image1,"['high', 'high']",0.3,0.7,45,1,2024-11-15_11h03.30.462,实验程序1.0,2024.2.4,59.97936705,2024-11-15 11h04.12.927257 +0800
2,0,2,f,0.4398112,None,,,,,2,0,2,0,65.6114955,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.6022239,65.6114955,67.335265,67.335265,66.8675158,70.3003796,f,0.4398112,None,10,image2,3,image2,image1,"['high', 'high', 'high']",0.3,0.7,45,1,2024-11-15_11h03.30.462,实验程序1.0,2024.2.4,59.97936705,2024-11-15 11h04.12.927257 +0800
3,0,3,j,0.451770401,None,,,,,3,0,3,0,70.4099467,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.401028,70.4099467,72.6174453,72.6174453,72.1342068,74.7671877,j,0.451770401,None,10,image2,2,image2,image1,"['high', 'high', 'high', 'high']",0.3,0.7,45,1,2024-11-15_11h03.30.462,实验程序1.0,2024.2.4,59.97936705,2024-11-15 11h04.12.927257 +0800
4,0,4,f,0.603146,None,,,,,4,0,4,0,74.8193896,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.8106635,74.8193896,76.7011168,76.7011168,76.0702101,78.742149,f,0.603146,None,10,image2,1,image2,image1,"['high', 'high', 'high', 'high', 'high']",0.3,0.7,45,1,2024-11-15_11h03.30.462,实验程序1.0,2024.2.4,59.97936705,2024-11-15 11h04.12.927257 +0800
5,0,5,j,0.5414674,None,,,,,5,0,5,0,78.7942535,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7849902,78.7942535,80.3006696,80.3006696,79.7339927,83.1277339,j,0.5414674,None,10,image2,8,image1,image2,['low'],0.7,0.3,45,1,2024-11-15_11h03.30.462,实验程序1.0,2024.2.4,59.97936705,2024-11-15 11h04.12.927257 +0800
6,0,6,j,0.498800199,None,,,,,6,0,6,0,83.1813497,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.1708515,83.1813497,,84.2674634,83.7507881,87.0039607,j,0.498800199,None,10,image2,7,image1,image2,"['low', 'low']",0.7,0.3,45,1,2024-11-15_11h03.30.462,实验程序1.0,2024.2.4,59.97936705,2024-11-15 11h04.12.927257 +0800
7,0,7,j,0.509127,None,,,,,7,0,7,0,87.1163321,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.107173,87.1163321,88.4340116,88.4340116,87.9009764,91.1551761,j,0.509127,None,0,image2,6,image1,image2,"['low', 'low', 'low']",0.7,0.3,45,1,2024-11-15_11h03.30.462,实验程序1.0,2024.2.4,59.97936705,2024-11-15 11h04.12.927257 +0800
