thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,prac_key_resp.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0047440999987884425,0.020825199997489108,0.020825199997489108,4.49145259999932,space,4.455152099999395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,001,2024-11-16_17h01.01.930,实验程序1.0,2024.2.4,60.00902535715078,2024-11-16 17h01.09.791384 +0800,
,,,,,,,,,,,,,,,,,,,,,,,4.50432119999823,4.50432119999823,space,2.3965093000006163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,001,2024-11-16_17h01.01.930,实验程序1.0,2024.2.4,60.00902535715078,2024-11-16 17h01.09.791384 +0800,
9,0,9,,,,9,0,9,0,,,,,30.432760899999266,,,,,,,,,,,,,,30.432760899999266,31.504241299997375,30.9708243999994,28.954247799996665,8.704101699997409,j,0.5044168000022182,None,32.971592099998816,32.98068090000015,32.98068090000015,37.28856239999732,space,4.295738799999526,None,,,,,,,,,,,,,,,,,,48,001,2024-11-16_17h01.01.930,实验程序1.0,2024.2.4,60.00902535715078,2024-11-16 17h01.09.791384 +0800,
0,0,0,f,0.31512759999895934,None,,,,,0,0,0,0,37.33554689999801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.325255099996866,37.33554689999801,38.67080929999793,38.33737459999975,38.67080929999793,41.606032499999856,f,0.31512759999895934,None,0,image2,13,image2,image1,['high'],0.3,0.7,48,001,2024-11-16_17h01.01.930,实验程序1.0,2024.2.4,60.00902535715078,2024-11-16 17h01.09.791384 +0800,
0,0,0,f,1.1191445999975258,None,,,,,0,0,0,0,41.658043599996745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.64937110000028,41.658043599996745,43.97069360000023,42.820937599997706,43.97069360000023,45.76655319999918,f,1.1191445999975258,None,0,image1,12,image2,image1,"['high', 'low']",0.3,0.7,48,001,2024-11-16_17h01.01.930,实验程序1.0,2024.2.4,60.00902535715078,2024-11-16 17h01.09.791384 +0800,
1,0,1,j,0.3405347999978403,None,,,,,1,0,1,0,45.823287100000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.81464259999848,45.823287100000016,48.03755009999804,47.670805399997334,48.03755009999804,50.20593729999746,j,0.3405347999978403,None,10,image2,11,image2,image1,"['high', 'low', 'high']",0.3,0.7,48,001,2024-11-16_17h01.01.930,实验程序1.0,2024.2.4,60.00902535715078,2024-11-16 17h01.09.791384 +0800,
2,0,2,j,0.4374845999991521,None,,,,,2,0,2,0,50.252988399999595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.24457829999665,50.252988399999595,52.32080279999718,51.85432309999669,52.32080279999718,54.55818409999847,j,0.4374845999991521,None,0,image2,10,image2,image1,"['high', 'low', 'high', 'high']",0.3,0.7,48,001,2024-11-16_17h01.01.930,实验程序1.0,2024.2.4,60.00902535715078,2024-11-16 17h01.09.791384 +0800,
3,0,3,f,0.3397655999979179,None,,,,,3,0,3,0,54.652176799998415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.64372459999868,54.652176799998415,56.854124699999375,56.48747269999876,56.854124699999375,59.80625479999799,f,0.3397655999979179,None,0,image1,9,image2,image1,"['high', 'low', 'high', 'high', 'low']",0.3,0.7,48,001,2024-11-16_17h01.01.930,实验程序1.0,2024.2.4,60.00902535715078,2024-11-16 17h01.09.791384 +0800,
4,0,4,j,0.48592199999984587,None,,,,,4,0,4,0,59.86151400000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.85311609999917,59.86151400000017,61.37081810000018,60.85405669999818,61.37081810000018,64.02440679999927,j,0.48592199999984587,None,10,image2,8,image2,image1,"['high', 'low', 'high', 'high', 'low', 'high']",0.3,0.7,48,001,2024-11-16_17h01.01.930,实验程序1.0,2024.2.4,60.00902535715078,2024-11-16 17h01.09.791384 +0800,
5,0,5,j,0.5083125999990443,None,,,,,5,0,5,0,64.07695599999715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.06849059999877,64.07695599999715,66.22084969999923,65.68745510000008,66.22084969999923,68.36641159999999,j,0.5083125999990443,None,0,image1,7,image2,image1,"['low', 'high', 'high', 'low', 'high', 'low']",0.3,0.7,48,001,2024-11-16_17h01.01.930,实验程序1.0,2024.2.4,60.00902535715078,2024-11-16 17h01.09.791384 +0800,
