thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.0037235,0.008735,0.008735,1.1912631,space,1.1702001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
,,,,,,,,,,,,,,,,,,,,,,,1.2008001,1.2008001,space,1.3057608,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
9,0,9,,,,9,0,9,0,,,,,24.4262842,,,,,,,,,,,,,,24.4262842,25.3017009,24.9680909,f,0.306505,None,26.7681959,26.7756073,26.7756073,28.2017996,space,1.4101686,None,,,,,,,,,,,,,,,,,,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
0,0,0,f,0.4527967,None,,,,,0,0,0,0,28.2997114,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2908046,28.2997114,30.4014453,30.4014453,29.9177359,33.0337395,f,0.4527967,None,0,image2,6,image1,image2,['low'],0.7,0.3,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
0,0,0,f,0.5201562,None,,,,,0,0,0,0,33.0789959,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0718657,33.0789959,35.5515416,35.5515416,35.0015684,37.2746618,f,0.5201562,None,0,image1,5,image1,image2,"['low', 'high']",0.7,0.3,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
1,0,1,f,0.6049114,None,,,,,1,0,1,0,37.3223821,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3152506,37.3223821,,38.5349607,37.901611,41.4958681,f,0.6049114,None,0,image1,4,image1,image2,"['low', 'high', 'high']",0.7,0.3,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
2,0,2,j,0.3864738,None,,,,,2,0,2,0,41.5459029,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5386553,41.5459029,,42.5681363,42.1515035,45.1737231,j,0.3864738,None,0,image2,3,image1,image2,"['low', 'high', 'high', 'low']",0.7,0.3,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
3,0,3,j,0.4843799,None,,,,,3,0,3,0,45.2750888,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2680317,45.2750888,,46.4348203,45.9181576,48.0488003,j,0.4843799,None,10,image1,2,image1,image2,"['low', 'high', 'high', 'low', 'high']",0.7,0.3,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
4,0,4,f,0.2955328,None,,,,,4,0,4,0,48.094345,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0873311,48.094345,49.5348582,49.5348582,49.2182339,51.068043,f,0.2955328,None,10,image1,1,image1,image2,"['low', 'high', 'high', 'low', 'high', 'high']",0.7,0.3,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
5,0,5,j,0.475148,None,,,,,5,0,5,0,51.1178079,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1107396,51.1178079,53.4515341,53.4515341,52.9515424,55.7720079,j,0.475148,None,10,image1,8,image2,image1,[],0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
6,0,6,f,0.3308068,None,,,,,6,0,6,0,55.8244039,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8172404,55.8244039,57.8849729,57.8849729,57.5348442,60.2925528,f,0.3308068,None,0,image1,7,image2,image1,['low'],0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
7,0,7,j,0.3389582,None,,,,,7,0,7,0,60.3917769,,,,,,,,,,,,,,,,,,,,,,,,,,,60.3848551,60.3917769,62.5349754,62.5349754,62.1681733,64.1202115,j,0.3389582,None,10,image2,6,image2,image1,"['low', 'high']",0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
8,0,8,f,0.4082881,None,,,,,8,0,8,0,64.1653657,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1581406,64.1653657,,65.2681266,64.8349089,67.6631038,f,0.4082881,None,0,image2,5,image2,image1,"['low', 'high', 'high']",0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
9,0,9,f,0.3689451,None,,,,,9,0,9,0,67.7144363,,,,,,,,,,,,,,,,,,,,,,,,,,,67.7070757,67.7144363,69.1849148,69.1849148,68.7849633,71.211633,f,0.3689451,None,0,image1,4,image2,image1,"['low', 'high', 'high', 'low']",0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
10,0,10,j,0.4177634,None,,,,,10,0,10,0,71.2649922,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2578475,71.2649922,72.6181865,72.6181865,72.1681383,75.5047945,j,0.4177634,None,0,image1,3,image2,image1,"['low', 'high', 'high', 'low', 'low']",0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
11,0,11,j,0.4116602,None,,,,,11,0,11,0,75.5579948,,,,,,,,,,,,,,,,,,,,,,,,,,,75.550722,75.5579948,77.9849825,77.9849825,77.5516129,79.7699722,j,0.4116602,None,0,image2,2,image2,image1,"['low', 'high', 'high', 'low', 'low', 'high']",0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
12,0,12,j,0.2772635,None,,,,,12,0,12,0,79.8684456,,,,,,,,,,,,,,,,,,,,,,,,,,,79.8608219,79.8684456,81.6016307,81.6016307,81.3016276,83.2578236,j,0.2772635,None,0,image1,1,image2,image1,"['high', 'high', 'low', 'low', 'high', 'low']",0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
13,0,13,j,0.2746593,None,,,,,13,0,13,0,83.3113265,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3040156,83.3113265,85.467949,85.467949,85.1683148,87.5626329,j,0.2746593,None,10,image1,0,image2,image1,"['high', 'low', 'low', 'high', 'low', 'low']",0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
14,0,14,j,0.7350304,None,,,,,14,0,14,0,87.6120095,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6047416,87.6120095,89.0349606,89.0349606,88.2681953,91.3144591,j,0.7350304,None,10,image2,-1,image2,image1,"['low', 'low', 'high', 'low', 'low', 'high']",0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
