thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,prac_image1.stopped,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004854399994655978,0.013477899999998044,0.013477899999998044,1.752747200000158,space,1.7278311000045505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
,,,,,,,,,,,,,,,,,,,,,,,1.7653238999992027,1.7653238999992027,space,1.2390101999990293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
9,0,9,,,,9,0,9,0,,,,,25.52699049999501,,,,,,,,,,,,,,25.52699049999501,27.2301695999995,26.06362749999971,f,1.1485580000007758,None,27.2301695999995,28.699052799995115,28.70759299999918,28.70759299999918,29.548154799995245,space,0.8242956000030972,None,,,,,,,,,,,,,,,,,,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
0,0,0,f,0.40167819999624044,None,,,,,0,0,0,0,29.596670499995525,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.586874999993597,29.596670499995525,31.96333009999944,31.96333009999944,31.530116299996735,34.14169359999505,f,0.40167819999624044,None,0,image1,11,image1,image2,['high'],0.7,0.3,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
0,0,0,f,0.4176445999983116,None,,,,,0,0,0,0,34.19549659999757,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.18686239999806,34.19549659999757,35.59686239999428,35.59686239999428,35.14679979999346,37.16874649999954,f,0.4176445999983116,None,10,image2,10,image1,image2,"['high', 'low']",0.7,0.3,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
1,0,1,f,0.4803669000029913,None,,,,,1,0,1,0,37.2156382999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.20684899999469,37.2156382999965,,38.27994789999502,37.780076799994276,41.1424182999981,f,0.4803669000029913,None,10,image2,9,image1,image2,"['high', 'low', 'low']",0.7,0.3,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
2,0,2,j,0.6143530999979703,None,,,,,2,0,2,0,41.195243199996185,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.18680029999814,41.195243199996185,42.44737479999458,42.44737479999458,41.8140604999935,44.596149299999524,j,0.6143530999979703,None,0,image2,8,image1,image2,"['high', 'low', 'low', 'low']",0.7,0.3,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
3,0,3,j,0.5937630999978865,None,,,,,3,0,3,0,44.69137729999784,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.683171699995,44.69137729999784,47.16347979999409,47.16347979999409,46.546803199998976,49.95439780000015,j,0.5937630999978865,None,0,image2,7,image1,image2,"['high', 'low', 'low', 'low', 'low']",0.7,0.3,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
4,0,4,j,0.3752107000036631,None,,,,,4,0,4,0,50.00765229999524,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.999282400000084,50.00765229999524,52.41344769999705,52.41344769999705,52.01333689999592,55.365974799999094,j,0.3752107000036631,None,10,image2,6,image1,image2,"['high', 'low', 'low', 'low', 'low', 'low']",0.7,0.3,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
5,0,5,f,0.38920770000549965,None,,,,,5,0,5,0,55.41272289999324,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.40416879999975,55.41272289999324,,56.47998199999711,56.06357279999793,58.892655699994066,f,0.38920770000549965,None,0,image2,5,image1,image2,"['low', 'low', 'low', 'low', 'low', 'low']",0.7,0.3,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
6,0,6,f,0.36668810000264784,None,,,,,6,0,6,0,58.94789139999921,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.939281299994036,58.94789139999921,60.99679130000004,60.99679130000004,60.61333989999548,63.33116719999816,f,0.36668810000264784,None,0,image2,4,image1,image2,"['low', 'low', 'low', 'low', 'low', 'low']",0.7,0.3,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
7,0,7,j,0.27113700000336394,None,,,,,7,0,7,0,63.43248920000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.424446799996076,63.43248920000042,,64.28020329999708,63.98019619999832,66.26035249999404,j,0.27113700000336394,None,10,image1,3,image1,image2,"['low', 'low', 'low', 'low', 'low', 'high']",0.7,0.3,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
8,0,8,f,0.3220142999998643,None,,,,,8,0,8,0,66.30656139999337,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.29816349999601,66.30656139999337,68.08023489999323,68.08023489999323,67.72999569999956,70.88603869999497,f,0.3220142999998643,None,10,image1,2,image1,image2,"['low', 'low', 'low', 'low', 'high', 'high']",0.7,0.3,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
9,0,9,f,0.32743650000338675,None,,,,,9,0,9,0,70.94039009999688,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.93173769999703,70.94039009999688,,71.9633737999975,71.61342789999617,74.3129345999987,f,0.32743650000338675,None,10,image1,1,image1,image2,"['low', 'low', 'low', 'high', 'high', 'high']",0.7,0.3,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
10,0,10,f,0.4523269000055734,None,,,,,10,0,10,0,74.35945759999595,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.35116439999547,74.35945759999595,75.93013609999616,75.93013609999616,75.44689429999562,78.4618765999985,f,0.4523269000055734,None,10,image1,0,image1,image2,"['low', 'low', 'high', 'high', 'high', 'high']",0.7,0.3,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
11,0,11,j,0.7233496999979252,None,,,,,11,0,11,0,78.51560459999746,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5071037999951,78.51560459999746,80.84686959999817,80.84686959999817,80.09664729999349,83.25919579999754,j,0.7233496999979252,None,10,image1,4,image2,image1,[],0.3,0.7,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
12,0,12,j,0.5224019999950542,None,,,,,12,0,12,0,83.35899159999826,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.35065299999405,83.35899159999826,85.66333049999957,85.66333049999957,85.1135215999966,87.59420799999498,j,0.5224019999950542,None,0,image1,3,image2,image1,['low'],0.3,0.7,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
13,0,13,f,0.41108119999989867,None,,,,,13,0,13,0,87.64841779999551,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.63982329999999,87.64841779999551,88.94688399999723,88.94688399999723,88.51346769999509,91.89500599999883,f,0.41108119999989867,None,0,image1,2,image2,image1,"['low', 'low']",0.3,0.7,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
14,0,14,f,0.46854739999980666,None,,,,,14,0,14,0,91.94894769999519,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.94052129999909,91.94894769999519,,93.14682689999609,92.64676009999675,94.85235049999756,f,0.46854739999980666,None,0,image1,1,image2,image1,"['low', 'low', 'low']",0.3,0.7,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
15,0,15,j,0.41063320000102976,None,,,,,15,0,15,0,94.90575629999512,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8973604999992,94.90575629999512,96.7299858999977,96.7299858999977,96.29674369999702,98.29390509999939,j,0.41063320000102976,None,10,image1,0,image2,image1,"['low', 'low', 'low', 'low']",0.3,0.7,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
16,0,16,j,0.6908078000051319,None,,,,,16,0,16,0,98.39700489999814,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.38883839999471,98.39700489999814,99.83006109999405,99.83006109999405,99.11351949999516,102.77703359999578,j,0.6908078000051319,None,0,image2,-1,image2,image1,"['low', 'low', 'low', 'low', 'high']",0.3,0.7,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
17,0,17,j,0.9185893000030774,None,,,,,17,0,17,0,102.82439619999786,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.8158609999955,102.82439619999786,104.380127299999,104.380127299999,103.43013359999895,106.69444609999482,j,0.9185893000030774,None,10,image1,-2,image2,image1,"['low', 'low', 'low', 'low', 'high', 'low']",0.3,0.7,52,001,2024-11-16_20h50.04.083,实验程序1.0,2024.2.4,60.146251624898596,2024-11-16 20h50.10.196676 +0800,
