thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0049574002623558044,0.01960580050945282,0.01960580050945282,1.9228214006870985,space,1.8725537993013859,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,001,2024-11-15_09h36.27.072,实验程序1.0,2024.2.4,60.01377921273641,2024-11-15 09h36.35.091812 +0800,
,,,,,,,,,,,,,,,,,,,,,,,1.938170500099659,1.938170500099659,space,1.7228223998099566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,001,2024-11-15_09h36.27.072,实验程序1.0,2024.2.4,60.01377921273641,2024-11-15 09h36.35.091812 +0800,
9,0,9,,,,9,0,9,0,,,,,25.065432300791144,,,,,,,,,,,,,,25.065432300791144,25.98657749965787,25.60317239910364,j,0.36157669872045517,None,27.455061499029398,27.464479899033904,27.464479899033904,29.988910799846053,space,2.5155096985399723,None,,,,,,,,,,,,,,,,,,55,001,2024-11-15_09h36.27.072,实验程序1.0,2024.2.4,60.01377921273641,2024-11-15 09h36.35.091812 +0800,
0,0,0,j,0.49841880053281784,None,,,,,0,0,0,0,30.10735769942403,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09451239928603,30.10735769942403,31.68630569986999,31.169911799952388,31.68630569986999,33.40132959932089,j,0.49841880053281784,None,0,image2,8,image1,image2,['low'],0.7,0.3,55,001,2024-11-15_09h36.27.072,实验程序1.0,2024.2.4,60.01377921273641,2024-11-15 09h36.35.091812 +0800,
0,0,0,j,0.32674970105290413,None,,,,,0,0,0,0,33.45493509992957,,,,,,,,,,,,,,,,,,,,,,,,,,,33.44634070061147,33.45493509992957,35.21989900059998,34.869579300284386,35.21989900059998,38.02736789919436,j,0.32674970105290413,None,10,image1,7,image1,image2,"['low', 'high']",0.7,0.3,55,001,2024-11-15_09h36.27.072,实验程序1.0,2024.2.4,60.01377921273641,2024-11-15 09h36.35.091812 +0800,
1,0,1,j,0.46656540036201477,None,,,,,1,0,1,0,38.07960289902985,,,,,,,,,,,,,,,,,,,,,,,,,,,38.07074319943786,38.07960289902985,40.45392349921167,39.9697938002646,40.45392349921167,43.35179439932108,j,0.46656540036201477,None,10,image1,6,image1,image2,"['low', 'high', 'high']",0.7,0.3,55,001,2024-11-15_09h36.27.072,实验程序1.0,2024.2.4,60.01377921273641,2024-11-15 09h36.35.091812 +0800,
2,0,2,f,0.3329709004610777,None,,,,,2,0,2,0,43.40482489950955,,,,,,,,,,,,,,,,,,,,,,,,,,,43.396320099011064,43.40482489950955,45.48649650067091,45.13651360012591,45.48649650067091,47.34868640080094,f,0.3329709004610777,None,0,image1,5,image1,image2,"['low', 'high', 'high', 'high']",0.7,0.3,55,001,2024-11-15_09h36.27.072,实验程序1.0,2024.2.4,60.01377921273641,2024-11-15 09h36.35.091812 +0800,
3,0,3,j,0.25518020056188107,None,,,,,3,0,3,0,47.45728679932654,,,,,,,,,,,,,,,,,,,,,,,,,,,47.44845410063863,47.45728679932654,49.71989640034735,49.43643819913268,49.71989640034735,52.265161499381065,j,0.25518020056188107,None,0,image2,4,image1,image2,"['low', 'high', 'high', 'high', 'low']",0.7,0.3,55,001,2024-11-15_09h36.27.072,实验程序1.0,2024.2.4,60.01377921273641,2024-11-15 09h36.35.091812 +0800,
4,0,4,f,0.5857832003384829,None,,,,,4,0,4,0,52.31871729902923,,,,,,,,,,,,,,,,,,,,,,,,,,,52.30907670035958,52.31871729902923,54.80300289951265,54.186415100470185,54.80300289951265,57.21492709964514,f,0.5857832003384829,None,0,image1,3,image1,image2,"['low', 'high', 'high', 'high', 'low', 'high']",0.7,0.3,55,001,2024-11-15_09h36.27.072,实验程序1.0,2024.2.4,60.01377921273641,2024-11-15 09h36.35.091812 +0800,
5,0,5,f,0.6796157993376255,None,,,,,5,0,5,0,57.26762009970844,,,,,,,,,,,,,,,,,,,,,,,,,,,57.25865829922259,57.26762009970844,58.55347689986229,57.853040700778365,58.55347689986229,60.176306899636984,f,0.6796157993376255,None,0,image1,2,image1,image2,"['high', 'high', 'high', 'low', 'high', 'high']",0.7,0.3,55,001,2024-11-15_09h36.27.072,实验程序1.0,2024.2.4,60.01377921273641,2024-11-15 09h36.35.091812 +0800,
6,0,6,f,0.9817667007446289,None,,,,,6,0,6,0,60.22880809940398,,,,,,,,,,,,,,,,,,,,,,,,,,,60.220129599794745,60.22880809940398,63.10316050052643,62.103194799274206,63.10316050052643,65.00330610014498,f,0.9817667007446289,None,0,image2,1,image1,image2,"['high', 'high', 'low', 'high', 'high', 'low']",0.7,0.3,55,001,2024-11-15_09h36.27.072,实验程序1.0,2024.2.4,60.01377921273641,2024-11-15 09h36.35.091812 +0800,
7,0,7,None,,,,,,,7,0,7,0,65.11374419927597,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1037709992379,65.11374419927597,67.60293550044298,66.36989009939134,67.60293550044298,68.60511959902942,None,,,,,,,,,,,55,001,2024-11-15_09h36.27.072,实验程序1.0,2024.2.4,60.01377921273641,2024-11-15 09h36.35.091812 +0800,
8,0,8,j,0.7197788003832102,None,,,,,8,0,8,0,68.65813950076699,,,,,,,,,,,,,,,,,,,,,,,,,,,68.64914309978485,68.65813950076699,70.36976690031588,69.62015029974282,70.36976690031588,72.98835870064795,j,0.7197788003832102,None,0,image1,0,image1,image2,"['high', 'low', 'high', 'high', 'low', 'high']",0.7,0.3,55,001,2024-11-15_09h36.27.072,实验程序1.0,2024.2.4,60.01377921273641,2024-11-15 09h36.35.091812 +0800,
9,0,9,j,0.6647149994969368,None,,,,,9,0,9,0,73.04163230024278,,,,,,,,,,,,,,,,,,,,,,,,,,,73.03288860060275,73.04163230024278,74.71984059922397,74.03651369921863,74.71984059922397,77.19378080032766,j,0.6647149994969368,None,10,image1,-1,image1,image2,"['low', 'high', 'high', 'low', 'high', 'high']",0.7,0.3,55,001,2024-11-15_09h36.27.072,实验程序1.0,2024.2.4,60.01377921273641,2024-11-15 09h36.35.091812 +0800,
10,0,10,f,0.7704520002007484,None,,,,,10,0,10,0,77.2455710992217,,,,,,,,,,,,,,,,,,,,,,,,,,,77.23694870062172,77.2455710992217,79.76988440006971,78.96997880004346,79.76988440006971,82.17346609942615,f,0.7704520002007484,None,10,image1,4,image2,image1,[],0.3,0.7,55,001,2024-11-15_09h36.27.072,实验程序1.0,2024.2.4,60.01377921273641,2024-11-15 09h36.35.091812 +0800,
11,0,11,f,0.3486170992255211,None,,,,,11,0,11,0,82.22667079977691,,,,,,,,,,,,,,,,,,,,,,,,,,,82.2179234996438,82.22667079977691,83.26984860002995,82.90312889963388,,84.88460380025208,f,0.3486170992255211,None,0,image1,3,image2,image1,['low'],0.3,0.7,55,001,2024-11-15_09h36.27.072,实验程序1.0,2024.2.4,60.01377921273641,2024-11-15 09h36.35.091812 +0800,
