thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004782300005899742,0.025106499990215525,0.025106499990215525,4.722961099992972,space,4.684358700003941,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57 ,001,2024-11-17_10h30.14.885,实验程序1.0,2024.2.4,59.916081542396505,2024-11-17 10h30.26.050416 +0800,
,,,,,,,,,,,,,,,,,,,,,,,4.7366257999965455,4.7366257999965455,space,4.284185099997558,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57 ,001,2024-11-17_10h30.14.885,实验程序1.0,2024.2.4,59.916081542396505,2024-11-17 10h30.26.050416 +0800,
9,0,9,,,,9,0,9,0,,,,,33.471869400003925,,,,,,,,,,,,,,33.471869400003925,34.509894399991026,34.010159600002225,13.759935600013705,j,0.4678165000223089,None,35.97978310001781,35.98999060000642,35.98999060000642,37.078661100007594,space,1.0790200000046752,None,,,,,,,,,,,,,,,,,,57 ,001,2024-11-17_10h30.14.885,实验程序1.0,2024.2.4,59.916081542396505,2024-11-17 10h30.26.050416 +0800,
0,0,0,f,1.153307100001257,None,,,,,0,0,0,0,37.13376260001678,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.12195729999803,37.13376260001678,39.043367100006435,37.860075100004906,39.043367100006435,41.52504239999689,f,1.153307100001257,None,0,image1,2,image1,image2,['high'],0.7,0.3,57 ,001,2024-11-17_10h30.14.885,实验程序1.0,2024.2.4,59.916081542396505,2024-11-17 10h30.26.050416 +0800,
0,0,0,j,0.4243438000266906,None,,,,,0,0,0,0,41.575938800000586,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.56697400001576,41.575938800000586,42.96032220000052,42.51003309999942,42.96032220000052,45.56999009998981,j,0.4243438000266906,None,0,image1,1,image1,image2,"['high', 'high']",0.7,0.3,57 ,001,2024-11-17_10h30.14.885,实验程序1.0,2024.2.4,59.916081542396505,2024-11-17 10h30.26.050416 +0800,
1,0,1,j,0.4724698000063654,None,,,,,1,0,1,0,45.620807300001616,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.611544000013964,45.620807300001616,47.39345810000668,46.89334310000413,47.39345810000668,49.33368800001335,j,0.4724698000063654,None,10,image2,0,image1,image2,"['high', 'high', 'low']",0.7,0.3,57 ,001,2024-11-17_10h30.14.885,实验程序1.0,2024.2.4,59.916081542396505,2024-11-17 10h30.26.050416 +0800,
2,0,2,f,0.6040215000102762,None,,,,,2,0,2,0,49.384304200008046,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.37497699999949,49.384304200008046,52.02738069999032,51.39334720000625,52.02738069999032,54.119493800011696,f,0.6040215000102762,None,0,image2,-1,image1,image2,"['high', 'high', 'low', 'low']",0.7,0.3,57 ,001,2024-11-17_10h30.14.885,实验程序1.0,2024.2.4,59.916081542396505,2024-11-17 10h30.26.050416 +0800,
3,0,3,f,0.8959122999804094,None,,,,,3,0,3,0,54.227674099995056,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.21885560001829,54.227674099995056,56.00995100001455,55.09329509999952,56.00995100001455,57.573294000001624,f,0.8959122999804094,None,0,image2,-2,image1,image2,"['high', 'high', 'low', 'low', 'low']",0.7,0.3,57 ,001,2024-11-17_10h30.14.885,实验程序1.0,2024.2.4,59.916081542396505,2024-11-17 10h30.26.050416 +0800,
4,0,4,f,1.409399600001052,None,,,,,4,0,4,0,57.623836799990386,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6148067000031,57.623836799990386,60.49329050001688,59.060066800011555,60.49329050001688,62.150459199998295,f,1.409399600001052,None,10,image1,-3,image1,image2,"['high', 'high', 'low', 'low', 'low', 'high']",0.7,0.3,57 ,001,2024-11-17_10h30.14.885,实验程序1.0,2024.2.4,59.916081542396505,2024-11-17 10h30.26.050416 +0800,
5,0,5,f,0.4665282999922056,None,,,,,5,0,5,0,62.200735699996585,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.192023800016614,62.200735699996585,64.32688430001144,63.84323699999368,64.32688430001144,66.97837689999142,f,0.4665282999922056,None,10,image1,-4,image1,image2,"['high', 'low', 'low', 'low', 'high', 'high']",0.7,0.3,57 ,001,2024-11-17_10h30.14.885,实验程序1.0,2024.2.4,59.916081542396505,2024-11-17 10h30.26.050416 +0800,
