thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,prac_image1.stopped,prac_key_resp.stopped,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,image1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.003376900000148453,0.008802700000160257,0.008802700000160257,2.0108163000004424,space,1.9892997999995714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2024-11-14_11h25.07.663,实验程序1.0,2024.2.4,59.90176111175236,2024-11-14 11h25.17.000357 +0800,
,,,,,,,,,,,,,,,,,,,,,,,2.021773100000246,2.021773100000246,space,1.5298756999991383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2024-11-14_11h25.07.663,实验程序1.0,2024.2.4,59.90176111175236,2024-11-14 11h25.17.000357 +0800,
9,0,9,,,,9,0,9,0,,,,,26.327671699999883,,,,,,,,,,,,,,26.327671699999883,27.20292580000023,26.869459800000186,j,0.3050781999991159,None,10.902006299999812,8.126894600000014,28.669457599999987,28.67694120000033,28.67694120000033,29.520156499999757,space,0.8340103000000454,None,,,,,,,,,,,,,,,,,,005,001,2024-11-14_11h25.07.663,实验程序1.0,2024.2.4,59.90176111175236,2024-11-14 11h25.17.000357 +0800,
0,0,0,j,0.3765635999998267,None,,,,,0,0,0,0,29.571781399999963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.563076899999942,29.571781399999963,30.70277999999962,30.302607999999964,33.64001290000033,j,0.3765635999998267,None,0,image1,4,image2,image1,['low'],0.3,0.7,,005,001,2024-11-14_11h25.07.663,实验程序1.0,2024.2.4,59.90176111175236,2024-11-14 11h25.17.000357 +0800,
0,0,0,f,0.2917405999996845,None,,,,,0,0,0,0,33.692707600000176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.685553500000424,33.692707600000176,34.71946399999979,34.402814000000035,37.307934399999795,f,0.2917405999996845,None,10,image2,3,image2,image1,"['low', 'high']",0.3,0.7,,005,001,2024-11-14_11h25.07.663,实验程序1.0,2024.2.4,59.90176111175236,2024-11-14 11h25.17.000357 +0800,
1,0,1,j,0.29981099999986327,None,,,,,1,0,1,0,37.357593099999576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.35041890000048,37.357593099999576,38.53619630000048,38.219569500000034,40.42269959999976,j,0.29981099999986327,None,0,image2,2,image2,image1,"['low', 'high', 'high']",0.3,0.7,,005,001,2024-11-14_11h25.07.663,实验程序1.0,2024.2.4,59.90176111175236,2024-11-14 11h25.17.000357 +0800,
2,0,2,j,0.33248809999986406,None,,,,,2,0,2,0,40.47326940000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.46614060000047,40.47326940000039,42.55287520000002,42.20283620000009,44.92304309999963,j,0.33248809999986406,None,10,image2,1,image2,image1,"['low', 'high', 'high', 'high']",0.3,0.7,42.55287520000002,005,001,2024-11-14_11h25.07.663,实验程序1.0,2024.2.4,59.90176111175236,2024-11-14 11h25.17.000357 +0800,
3,0,3,f,0.5397847999993246,None,,,,,3,0,3,0,45.02339810000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.01653249999981,45.02339810000012,47.586255999999594,47.01961229999961,50.0372612000001,f,0.5397847999993246,None,0,image2,0,image2,image1,"['low', 'high', 'high', 'high', 'high']",0.3,0.7,47.586255999999594,005,001,2024-11-14_11h25.07.663,实验程序1.0,2024.2.4,59.90176111175236,2024-11-14 11h25.17.000357 +0800,
4,0,4,j,0.4186283999997613,None,,,,,4,0,4,0,50.0896673999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0825818000003,50.0896673999996,51.68628189999981,51.23615940000036,54.10905189999994,j,0.4186283999997613,None,10,image2,14,image1,image2,[],0.7,0.3,51.68628189999981,005,001,2024-11-14_11h25.07.663,实验程序1.0,2024.2.4,59.90176111175236,2024-11-14 11h25.17.000357 +0800,
5,0,5,j,0.3175891999999294,None,,,,,5,0,5,0,54.16195169999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.15480409999964,54.16195169999992,55.319521200000054,54.96956430000046,57.91075189999992,j,0.3175891999999294,None,0,image1,13,image1,image2,['high'],0.7,0.3,,005,001,2024-11-14_11h25.07.663,实验程序1.0,2024.2.4,59.90176111175236,2024-11-14 11h25.17.000357 +0800,
