thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,prac_key_resp.stopped,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004706298932433128,0.019267098978161812,0.019267098978161812,4.331732599064708,space,4.294338099658489,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-11-14_09h53.46.848,实验程序1.0,2024.2.4,60.003263978885926,2024-11-14 09h53.57.314971 +0800,
,,,,,,,,,,,,,,,,,,,,,,,4.346491400152445,4.346491400152445,space,0.38329180143773556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-11-14_09h53.46.848,实验程序1.0,2024.2.4,60.003263978885926,2024-11-14 09h53.57.314971 +0800,
9,0,9,,,,9,0,9,0,,,,,29.848177699372172,,,,,,,,,,,,,,29.848177699372172,31.63613119907677,30.387088499963284,31.63613119907677,None,31.63613119907677,32.63845159858465,32.6473222989589,32.6473222989589,55.68769549950957,space,23.02663340047002,None,,,,,,,,,,,,,,,,,,006,001,2024-11-14_09h53.46.848,实验程序1.0,2024.2.4,60.003263978885926,2024-11-14 09h53.57.314971 +0800,
0,0,0,None,,,,,,,0,0,0,0,55.741771299391985,,,,,,,,,,,,,,,,,,,,,,,,,,,55.730507800355554,55.741771299391985,58.1031253002584,56.85342609882355,58.1031253002584,59.10510540008545,None,,,,,,,,,,,006,001,2024-11-14_09h53.46.848,实验程序1.0,2024.2.4,60.003263978885926,2024-11-14 09h53.57.314971 +0800,
0,0,0,j,0.6040396001189947,None,,,,,0,0,0,0,59.155309500172734,,,,,,,,,,,,,,,,,,,,,,,,,,,59.14590450003743,59.155309500172734,61.70342819951475,61.06951989978552,61.70342819951475,64.37246839888394,j,0.6040396001189947,None,10,image1,12,image2,image1,['low'],0.3,0.7,006,001,2024-11-14_09h53.46.848,实验程序1.0,2024.2.4,60.003263978885926,2024-11-14 09h53.57.314971 +0800,
1,0,1,f,0.5663520004600286,None,,,,,1,0,1,0,64.42268469929695,,,,,,,,,,,,,,,,,,,,,,,,,,,64.41384709998965,64.42268469929695,66.83608889952302,66.25294099934399,66.83608889952302,69.73310379870236,f,0.5663520004600286,None,10,image1,11,image2,image1,"['low', 'low']",0.3,0.7,006,001,2024-11-14_09h53.46.848,实验程序1.0,2024.2.4,60.003263978885926,2024-11-14 09h53.57.314971 +0800,
2,0,2,f,0.47580100037157536,None,,,,,2,0,2,0,69.783996200189,,,,,,,,,,,,,,,,,,,,,,,,,,,69.77468979917467,69.783996200189,70.98609889857471,70.48632909916341,,73.70313940010965,f,0.47580100037157536,None,0,image1,10,image2,image1,"['low', 'low', 'low']",0.3,0.7,006,001,2024-11-14_09h53.46.848,实验程序1.0,2024.2.4,60.003263978885926,2024-11-14 09h53.57.314971 +0800,
3,0,3,j,0.4320173002779484,None,,,,,3,0,3,0,73.82210679911077,,,,,,,,,,,,,,,,,,,,,,,,,,,73.81285959854722,73.82210679911077,75.65348630025983,75.20322899892926,75.65348630025983,77.87559289857745,j,0.4320173002779484,None,10,image2,9,image2,image1,"['low', 'low', 'low', 'high']",0.3,0.7,006,001,2024-11-14_09h53.46.848,实验程序1.0,2024.2.4,60.003263978885926,2024-11-14 09h53.57.314971 +0800,
4,0,4,f,0.46965520083904266,None,,,,,4,0,4,0,77.92814539931715,,,,,,,,,,,,,,,,,,,,,,,,,,,77.91843239963055,77.92814539931715,79.73695029877126,79.23672659881413,79.73695029877126,82.6821069996804,f,0.46965520083904266,None,10,image2,8,image2,image1,"['low', 'low', 'low', 'high', 'high']",0.3,0.7,006,001,2024-11-14_09h53.46.848,实验程序1.0,2024.2.4,60.003263978885926,2024-11-14 09h53.57.314971 +0800,
5,0,5,j,0.4199930001050234,None,,,,,5,0,5,0,82.73719529993832,,,,,,,,,,,,,,,,,,,,,,,,,,,82.72688629850745,82.73719529993832,84.72050769999623,84.26971349865198,84.72050769999623,86.35288869962096,j,0.4199930001050234,None,0,image2,7,image2,image1,"['low', 'low', 'low', 'high', 'high', 'high']",0.3,0.7,006,001,2024-11-14_09h53.46.848,实验程序1.0,2024.2.4,60.003263978885926,2024-11-14 09h53.57.314971 +0800,
