thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,image1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.0076126,0.0276729,0.0276729,1.6921488,space,1.6503507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,1,2025-03-02_10h24.26.709,实验程序1.0,2024.2.4,59.85214126,2025-03-02 10h24.35.288070 +0800
,,,,,,,,,,,,,,,,,,,,,,,1.7048975,1.7048975,space,2.0986394,None,,,,,,,,,,,,,,,,,,,,,,,,,80,1,2025-03-02_10h24.26.709,实验程序1.0,2024.2.4,59.85214126,2025-03-02 10h24.35.288070 +0800
9,0,9,,,,9,0,9,0,,,,,3.8296307,,,,,,,,,,,,,,3.816032399,3.8296307,3.8296307,5.4818253,space,1.6474888,None,,,,,,,,,,,,,,,,,,80,1,2025-03-02_10h24.26.709,实验程序1.0,2024.2.4,59.85214126,2025-03-02 10h24.35.288070 +0800
0,0,0,f,0.570131,None,,,,,0,0,0,0,5.5964212,,,,,,,,,,,,,,,,,,,,,5.584719599,5.5964212,6.7295833,6.1299704,9.607473399,f,0.570131,None,10,image2,11,image1,image2,['low'],0.7,0.3,,80,1,2025-03-02_10h24.26.709,实验程序1.0,2024.2.4,59.85214126,2025-03-02 10h24.35.288070 +0800
0,0,0,f,0.568307,None,,,,,0,0,0,0,9.6604985,,,,,,,,,,,,,,,,,,,,,9.650444499,9.6604985,10.9630284,10.363049,13.5984219,f,0.568307,None,10,image1,10,image1,image2,"['low', 'high']",0.7,0.3,10.9630284,80,1,2025-03-02_10h24.26.709,实验程序1.0,2024.2.4,59.85214126,2025-03-02 10h24.35.288070 +0800
1,0,1,f,0.6608167,None,,,,,1,0,1,0,13.6504622,,,,,,,,,,,,,,,,,,,,,13.6414889,13.6504622,15.7462935,15.0629408,17.5831934,f,0.6608167,None,10,image1,9,image1,image2,"['low', 'high', 'high']",0.7,0.3,15.7462935,80,1,2025-03-02_10h24.26.709,实验程序1.0,2024.2.4,59.85214126,2025-03-02 10h24.35.288070 +0800
2,0,2,j,0.6424003,None,,,,,2,0,2,0,17.6365745,,,,,,,,,,,,,,,,,,,,,17.6268783,17.6365745,20.1795972,19.5130511,21.9048484,j,0.6424003,None,0,image1,8,image1,image2,"['low', 'high', 'high', 'high']",0.7,0.3,20.1795972,80,1,2025-03-02_10h24.26.709,实验程序1.0,2024.2.4,59.85214126,2025-03-02 10h24.35.288070 +0800
3,0,3,f,0.525324101,None,,,,,3,0,3,0,22.0138733,,,,,,,,,,,,,,,,,,,,,22.0049212,22.0138733,23.5964541,23.0463584,25.6340657,f,0.525324101,None,10,image2,7,image1,image2,"['low', 'high', 'high', 'high', 'low']",0.7,0.3,23.5964541,80,1,2025-03-02_10h24.26.709,实验程序1.0,2024.2.4,59.85214126,2025-03-02 10h24.35.288070 +0800
4,0,4,j,0.393830799,None,,,,,4,0,4,0,25.685555,,,,,,,,,,,,,,,,,,,,,25.6769174,25.685555,27.3473537,26.9300218,29.2817678,j,0.393830799,None,10,image2,6,image1,image2,"['low', 'high', 'high', 'high', 'low', 'low']",0.7,0.3,27.3473537,80,1,2025-03-02_10h24.26.709,实验程序1.0,2024.2.4,59.85214126,2025-03-02 10h24.35.288070 +0800
5,0,5,f,0.3901605,None,,,,,5,0,5,0,29.3344288,,,,,,,,,,,,,,,,,,,,,29.3252,29.3344288,31.0630051,30.646499,32.6017217,f,0.3901605,None,0,image2,5,image1,image2,"['high', 'high', 'high', 'low', 'low', 'low']",0.7,0.3,31.0630051,80,1,2025-03-02_10h24.26.709,实验程序1.0,2024.2.4,59.85214126,2025-03-02 10h24.35.288070 +0800
