thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.00316469999961555,0.0081995000000461,0.0081995000000461,2.521151199999622,space,2.5095674000003783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,001,2025-03-09_11h11.46.934,实验程序1.0,2024.2.4,59.90674915436417,2025-03-09 11h11.57.043409 +0800,
,,,,,,,,,,,,,,,,,,,,,,,2.5340649999998277,2.5340649999998277,space,2.5442462000000887,None,,,,,,,,,,,,,,,,,,,,,,,,,82,001,2025-03-09_11h11.46.934,实验程序1.0,2024.2.4,59.90674915436417,2025-03-09 11h11.57.043409 +0800,
9,0,9,,,,9,0,9,0,,,,,5.1008096999999,,,,,,,,,,,,,,5.086245599999984,5.1008096999999,5.1008096999999,7.8683546999996,space,2.7522727000000486,None,,,,,,,,,,,,,,,,,,82,001,2025-03-09_11h11.46.934,实验程序1.0,2024.2.4,59.90674915436417,2025-03-09 11h11.57.043409 +0800,
0,0,0,f,0.47578329999987545,None,,,,,0,0,0,0,7.986980799999856,,,,,,,,,,,,,,,,,,,,,7.955093699999907,7.986980799999856,10.11823460000005,10.11823460000005,9.617957599999954,12.843820999999934,f,0.47578329999987545,None,10,image1,3,image2,image1,['low'],0.3,0.7,82,001,2025-03-09_11h11.46.934,实验程序1.0,2024.2.4,59.90674915436417,2025-03-09 11h11.57.043409 +0800,
0,0,0,f,0.5517823999998654,None,,,,,0,0,0,0,12.89464309999994,,,,,,,,,,,,,,,,,,,,,12.8875366999996,12.89464309999994,14.285009499999887,14.285009499999887,13.701543700000002,17.187771699999757,f,0.5517823999998654,None,0,image1,2,image2,image1,"['low', 'low']",0.3,0.7,82,001,2025-03-09_11h11.46.934,实验程序1.0,2024.2.4,59.90674915436417,2025-03-09 11h11.57.043409 +0800,
1,0,1,j,0.5038416000002144,None,,,,,1,0,1,0,17.233744399999978,,,,,,,,,,,,,,,,,,,,,17.22661799999969,17.233744399999978,18.85153599999967,18.85153599999967,18.318197099999907,21.363794699999744,j,0.5038416000002144,None,0,image2,1,image2,image1,"['low', 'low', 'high']",0.3,0.7,82,001,2025-03-09_11h11.46.934,实验程序1.0,2024.2.4,59.90674915436417,2025-03-09 11h11.57.043409 +0800,
2,0,2,j,1.0209068999997726,None,,,,,2,0,2,0,21.41570469999988,,,,,,,,,,,,,,,,,,,,,21.408376899999894,21.41570469999988,23.23484019999978,23.23484019999978,22.184797999999773,25.951271299999917,j,1.0209068999997726,None,0,image1,0,image2,image1,"['low', 'low', 'high', 'low']",0.3,0.7,82,001,2025-03-09_11h11.46.934,实验程序1.0,2024.2.4,59.90674915436417,2025-03-09 11h11.57.043409 +0800,
3,0,3,j,0.6493226000002323,None,,,,,3,0,3,0,26.05334989999983,,,,,,,,,,,,,,,,,,,,,26.04636419999997,26.05334989999983,27.734883799999807,27.734883799999807,27.068236199999774,29.3585693,j,0.6493226000002323,None,0,image1,-1,image2,image1,"['low', 'low', 'high', 'low', 'low']",0.3,0.7,82,001,2025-03-09_11h11.46.934,实验程序1.0,2024.2.4,59.90674915436417,2025-03-09 11h11.57.043409 +0800,
4,0,4,j,0.6747660000000906,None,,,,,4,0,4,0,29.409149199999774,,,,,,,,,,,,,,,,,,,,,29.402060999999776,29.409149199999774,30.95163509999975,30.95163509999975,30.251509700000042,33.57271889999993,j,0.6747660000000906,None,10,image2,-2,image2,image1,"['low', 'low', 'high', 'low', 'low', 'high']",0.3,0.7,82,001,2025-03-09_11h11.46.934,实验程序1.0,2024.2.4,59.90674915436417,2025-03-09 11h11.57.043409 +0800,
5,0,5,j,0.6580273999998099,None,,,,,5,0,5,0,33.62617779999982,,,,,,,,,,,,,,,,,,,,,33.619008699999995,33.62617779999982,35.951626099999885,35.951626099999885,35.26812509999991,38.48892799999976,j,0.6580273999998099,None,10,image2,-3,image2,image1,"['low', 'high', 'low', 'low', 'high', 'high']",0.3,0.7,82,001,2025-03-09_11h11.46.934,实验程序1.0,2024.2.4,59.90674915436417,2025-03-09 11h11.57.043409 +0800,
