thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,prac_key_resp.stopped,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0033384999999270804,0.008106699999871125,0.008106699999871125,2.5371253999999226,space,2.50467679999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,001,2025-03-02_10h32.52.166,实验程序1.0,2024.2.4,60.00531647102728,2025-03-02 10h33.18.121155 +0800,
,,,,,,,,,,,,,,,,,,,,,,,2.5495381999999154,2.5495381999999154,space,3.274255499999981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,001,2025-03-02_10h32.52.166,实验程序1.0,2024.2.4,60.00531647102728,2025-03-02 10h33.18.121155 +0800,
9,0,9,,,,9,0,9,0,,,,,28.057580400000006,,,,,,,,,,,,,,28.057580400000006,29.077804199999946,28.594371499999852,10.411154200000055,f,10.411154200000055,0.46199939999996786,None,30.54672460000006,30.55607789999999,30.55607789999999,33.39583749999997,space,2.8360998000000563,None,,,,,,,,,,,,,,,,,,83,001,2025-03-02_10h32.52.166,实验程序1.0,2024.2.4,60.00531647102728,2025-03-02 10h33.18.121155 +0800,
0,0,0,None,,,,,,,0,0,0,0,33.445546899999954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.435274100000015,33.445546899999954,35.719748999999865,34.486400499999945,35.719748999999865,36.721250199999986,None,,,,,,,,,,,83,001,2025-03-02_10h32.52.166,实验程序1.0,2024.2.4,60.00531647102728,2025-03-02 10h33.18.121155 +0800,
0,0,0,f,0.2078407999999854,None,,,,,0,0,0,0,36.77486350000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.76766789999988,36.77486350000004,37.96486179999988,37.720056800000066,,39.49812459999998,f,0.2078407999999854,None,0,image1,5,image2,image1,['low'],0.3,0.7,83,001,2025-03-02_10h32.52.166,实验程序1.0,2024.2.4,60.00531647102728,2025-03-02 10h33.18.121155 +0800,
1,0,1,j,0.5054061000000729,None,,,,,1,0,1,0,39.552927199999885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.54428230000008,39.552927199999885,42.0916428999999,41.55820610000001,42.0916428999999,44.47353699999985,j,0.5054061000000729,None,10,image2,4,image2,image1,"['low', 'high']",0.3,0.7,83,001,2025-03-02_10h32.52.166,实验程序1.0,2024.2.4,60.00531647102728,2025-03-02 10h33.18.121155 +0800,
2,0,2,f,0.3320724000000155,None,,,,,2,0,2,0,44.52781570000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.519371399999955,44.52781570000002,45.858330799999976,45.50823379999997,45.858330799999976,47.7182992999999,f,0.3320724000000155,None,0,image2,3,image2,image1,"['low', 'high', 'high']",0.3,0.7,83,001,2025-03-02_10h32.52.166,实验程序1.0,2024.2.4,60.00531647102728,2025-03-02 10h33.18.121155 +0800,
3,0,3,f,0.43174260000000686,None,,,,,3,0,3,0,47.820673199999874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.812428100000034,47.820673199999874,50.25846230000002,49.80830650000007,50.25846230000002,52.712022299999944,f,0.43174260000000686,None,10,image2,2,image2,image1,"['low', 'high', 'high', 'high']",0.3,0.7,83,001,2025-03-02_10h32.52.166,实验程序1.0,2024.2.4,60.00531647102728,2025-03-02 10h33.18.121155 +0800,
4,0,4,j,0.39872120000018185,None,,,,,4,0,4,0,52.76747380000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.758925899999895,52.76747380000006,55.041680699999915,54.62513650000005,55.041680699999915,57.658900599999924,j,0.39872120000018185,None,10,image1,1,image2,image1,"['low', 'high', 'high', 'high', 'low']",0.3,0.7,83,001,2025-03-02_10h32.52.166,实验程序1.0,2024.2.4,60.00531647102728,2025-03-02 10h33.18.121155 +0800,
5,0,5,j,0.5726603000000523,None,,,,,5,0,5,0,57.7083740999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.69950779999999,57.7083740999999,59.0750000999999,58.47509930000001,59.0750000999999,61.97100309999996,j,0.5726603000000523,None,0,image2,0,image2,image1,"['low', 'high', 'high', 'high', 'low', 'high']",0.3,0.7,83,001,2025-03-02_10h32.52.166,实验程序1.0,2024.2.4,60.00531647102728,2025-03-02 10h33.18.121155 +0800,
6,0,6,f,0.7080928000000313,None,,,,,6,0,6,0,62.02704010000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.018303999999944,62.02704010000002,64.42501429999993,63.69152329999997,64.42501429999993,66.39377919999993,f,0.7080928000000313,None,10,image1,-1,image2,image1,"['high', 'high', 'high', 'low', 'high', 'low']",0.3,0.7,83,001,2025-03-02_10h32.52.166,实验程序1.0,2024.2.4,60.00531647102728,2025-03-02 10h33.18.121155 +0800,
7,0,7,j,0.34625800000003437,None,,,,,7,0,7,0,66.48920759999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.48088400000006,66.48920759999987,68.09159,67.72499670000002,68.09159,69.93066859999999,j,0.34625800000003437,None,10,image2,-2,image2,image1,"['high', 'high', 'low', 'high', 'low', 'high']",0.3,0.7,83,001,2025-03-02_10h32.52.166,实验程序1.0,2024.2.4,60.00531647102728,2025-03-02 10h33.18.121155 +0800,
8,0,8,j,0.5323693999998795,None,,,,,8,0,8,0,69.98531860000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.97709650000002,69.98531860000003,72.04156910000006,71.49173849999988,72.04156910000006,73.94134540000005,j,0.5323693999998795,None,10,image2,-3,image2,image1,"['high', 'low', 'high', 'low', 'high', 'high']",0.3,0.7,83,001,2025-03-02_10h32.52.166,实验程序1.0,2024.2.4,60.00531647102728,2025-03-02 10h33.18.121155 +0800,
9,0,9,f,0.5595114999998714,None,,,,,9,0,9,0,73.98994300000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.98137240000005,73.98994300000004,75.40829540000004,74.82515319999993,75.40829540000004,77.60834,f,0.5595114999998714,None,10,image1,-4,image2,image1,"['low', 'high', 'low', 'high', 'high', 'low']",0.3,0.7,83,001,2025-03-02_10h32.52.166,实验程序1.0,2024.2.4,60.00531647102728,2025-03-02 10h33.18.121155 +0800,
10,0,10,j,0.27784169999995356,None,,,,,10,0,10,0,77.65656939999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.64786359999994,77.65656939999985,79.77512950000005,79.4749617,79.77512950000005,82.62950389999992,j,0.27784169999995356,None,0,image1,-5,image2,image1,"['high', 'low', 'high', 'high', 'low', 'low']",0.3,0.7,83,001,2025-03-02_10h32.52.166,实验程序1.0,2024.2.4,60.00531647102728,2025-03-02 10h33.18.121155 +0800,
11,0,11,j,0.34891160000006494,None,,,,,11,0,11,0,82.6834217999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.67501820000007,82.6834217999999,85.02496619999988,84.65830110000002,85.02496619999988,87.33064360000003,j,0.34891160000006494,None,10,image2,-6,image2,image1,"['low', 'high', 'high', 'low', 'low', 'high']",0.3,0.7,83,001,2025-03-02_10h32.52.166,实验程序1.0,2024.2.4,60.00531647102728,2025-03-02 10h33.18.121155 +0800,
