thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,prac_key_resp.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,frame.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0048462999984622,0.01308939978480339,0.01308939978480339,6.406940300017595,space,6.374046500772238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,001,2025-03-03_10h26.29.502,实验程序1.0,2024.2.4,60.27153522701737,2025-03-03 10h26.39.456866 +0800,
,,,,,,,,,,,,,,,,,,,,,,,6.419513399712741,6.419513399712741,space,5.248410400003195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,001,2025-03-03_10h26.29.502,实验程序1.0,2024.2.4,60.27153522701737,2025-03-03 10h26.39.456866 +0800,
9,0,9,,,,9,0,9,0,,,,,36.45769030041993,,,,,,,,,,,,,,36.45769030041993,37.395304900594056,36.99452030006796,22.194471799768507,13.477662700228393,j,0.368945499882102,None,38.867049399763346,38.876261100173,38.876261100173,47.8627204997465,space,8.97575950063765,None,,,,,,,,,,,,,,,,,,,92,001,2025-03-03_10h26.29.502,实验程序1.0,2024.2.4,60.27153522701737,2025-03-03 10h26.39.456866 +0800,
0,0,0,f,0.6701833000406623,None,,,,,0,0,0,0,47.91788920015097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.905526500195265,47.91788920015097,50.56164740025997,50.56164740025997,49.8614020999521,52.786048700101674,f,0.6701833000406623,None,0,image2,8,image2,image1,['high'],0.3,0.7,,92,001,2025-03-03_10h26.29.502,实验程序1.0,2024.2.4,60.27153522701737,2025-03-03 10h26.39.456866 +0800,
0,0,0,j,0.3845470994710922,None,,,,,0,0,0,0,52.83662519976497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.82673319987953,52.83662519976497,54.24464340042323,54.24464340042323,53.82803830038756,55.99475609976798,j,0.3845470994710922,None,0,image1,7,image2,image1,"['high', 'low']",0.3,0.7,,92,001,2025-03-03_10h26.29.502,实验程序1.0,2024.2.4,60.27153522701737,2025-03-03 10h26.39.456866 +0800,
1,0,1,j,0.43587629962712526,None,,,,,1,0,1,0,56.045332400128245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.036104099825025,56.045332400128245,58.3777675004676,58.3777675004676,57.91113600041717,59.98470970056951,j,0.43587629962712526,None,10,image2,6,image2,image1,"['high', 'low', 'high']",0.3,0.7,,92,001,2025-03-03_10h26.29.502,实验程序1.0,2024.2.4,60.27153522701737,2025-03-03 10h26.39.456866 +0800,
2,0,2,f,0.37727649975568056,None,,,,,2,0,2,0,60.03543190006167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.026452800258994,60.03543190006167,62.37772660050541,62.37772660050541,61.97772770002484,65.0786929000169,f,0.37727649975568056,None,0,image2,5,image2,image1,"['high', 'low', 'high', 'high']",0.3,0.7,,92,001,2025-03-03_10h26.29.502,实验程序1.0,2024.2.4,60.27153522701737,2025-03-03 10h26.39.456866 +0800,
3,0,3,f,0.359604200348258,None,,,,,3,0,3,0,65.1863353997469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.17731350008398,65.1863353997469,67.21105180028826,67.21105180028826,66.82832359988242,70.12921530008316,f,0.359604200348258,None,0,image1,4,image2,image1,"['high', 'low', 'high', 'high', 'low']",0.3,0.7,,92,001,2025-03-03_10h26.29.502,实验程序1.0,2024.2.4,60.27153522701737,2025-03-03 10h26.39.456866 +0800,
4,0,4,j,0.45223760046064854,None,,,,,4,0,4,0,70.17917940020561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.17034529987723,70.17917940020561,71.4276620997116,71.4276620997116,70.94458619970828,74.19895640015602,j,0.45223760046064854,None,10,image2,3,image2,image1,"['high', 'low', 'high', 'high', 'low', 'high']",0.3,0.7,,92,001,2025-03-03_10h26.29.502,实验程序1.0,2024.2.4,60.27153522701737,2025-03-03 10h26.39.456866 +0800,
5,0,5,j,0.37311779987066984,None,,,,,5,0,5,0,74.24978199973702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.24083849973977,74.24978199973702,75.52778230048716,75.52778230048716,75.12791709974408,77.4346334002912,j,0.37311779987066984,None,10,image2,2,image2,image1,"['low', 'high', 'high', 'low', 'high', 'high']",0.3,0.7,,92,001,2025-03-03_10h26.29.502,实验程序1.0,2024.2.4,60.27153522701737,2025-03-03 10h26.39.456866 +0800,
