thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.00338,0.0083027,0.0083027,4.3515359,space,4.3222961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,1,2025-03-05_11h09.17.556,实验程序1.0,2024.2.4,60.03291004,2025-03-05 11h09.31.165176 +0800
,,,,,,,,,,,,,,,,,,,,,,,4.3627947,4.3627947,space,6.6865985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,1,2025-03-05_11h09.17.556,实验程序1.0,2024.2.4,60.03291004,2025-03-05 11h09.31.165176 +0800
9,0,9,,,,9,0,9,0,,,,,35.4547422,,,,,,,,,,,,,,35.4547422,37.2295609,35.996832,37.2295609,None,0.5570268,None,38.2329404,38.2408463,38.2408463,51.5309587,space,13.2890622,None,,,,,,,,,,,,,,,,,,93,1,2025-03-05_11h09.17.556,实验程序1.0,2024.2.4,60.03291004,2025-03-05 11h09.31.165176 +0800
0,0,0,f,0.595697,None,,,,,0,0,0,0,51.5756904,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5670391,51.5756904,53.2468219,52.6299593,53.2468219,55.5110165,f,0.595697,None,10,image1,9,image1,image2,['high'],0.7,0.3,93,1,2025-03-05_11h09.17.556,实验程序1.0,2024.2.4,60.03291004,2025-03-05 11h09.31.165176 +0800
0,0,0,j,0.6991883,None,,,,,0,0,0,0,55.5556716,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5486264,55.5556716,57.1471896,56.4301813,57.1471896,59.3608725,j,0.6991883,None,0,image1,8,image1,image2,"['high', 'high']",0.7,0.3,93,1,2025-03-05_11h09.17.556,实验程序1.0,2024.2.4,60.03291004,2025-03-05 11h09.31.165176 +0800
1,0,1,f,0.6254572,None,,,,,1,0,1,0,59.4062453,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3989546,59.4062453,61.7468866,61.0968627,61.7468866,64.6427489,f,0.6254572,None,0,image2,7,image1,image2,"['high', 'high', 'low']",0.7,0.3,93,1,2025-03-05_11h09.17.556,实验程序1.0,2024.2.4,60.03291004,2025-03-05 11h09.31.165176 +0800
2,0,2,f,0.6086261,None,,,,,2,0,2,0,64.6915512,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6844157,64.6915512,65.9302547,65.2968712,,67.9353243,f,0.6086261,None,10,image1,6,image1,image2,"['high', 'high', 'low', 'high']",0.7,0.3,93,1,2025-03-05_11h09.17.556,实验程序1.0,2024.2.4,60.03291004,2025-03-05 11h09.31.165176 +0800
3,0,3,j,0.6846516,None,,,,,3,0,3,0,68.0321693,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0251009,68.0321693,70.7134663,69.996987,70.7134663,73.5487349,j,0.6846516,None,10,image1,5,image1,image2,"['high', 'high', 'low', 'high', 'high']",0.7,0.3,93,1,2025-03-05_11h09.17.556,实验程序1.0,2024.2.4,60.03291004,2025-03-05 11h09.31.165176 +0800
4,0,4,f,0.4706389,None,,,,,4,0,4,0,73.6011548,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.5940561,73.6011548,75.6469674,75.1468935,75.6469674,77.7891242,f,0.4706389,None,10,image1,4,image1,image2,"['high', 'high', 'low', 'high', 'high', 'high']",0.7,0.3,93,1,2025-03-05_11h09.17.556,实验程序1.0,2024.2.4,60.03291004,2025-03-05 11h09.31.165176 +0800
5,0,5,j,0.5342326,None,,,,,5,0,5,0,77.8389298,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.8318109,77.8389298,80.3302517,79.7635111,80.3302517,82.767601,j,0.5342326,None,10,image1,3,image1,image2,"['high', 'low', 'high', 'high', 'high', 'high']",0.7,0.3,93,1,2025-03-05_11h09.17.556,实验程序1.0,2024.2.4,60.03291004,2025-03-05 11h09.31.165176 +0800
