thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,image1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004484000004595146,0.013000800012378022,0.013000800012378022,2.9362142000027234,space,2.8961733000032837,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,001,2025-03-08_10h20.21.703,实验程序1.0,2024.2.4,59.86041747839583,2025-03-08 10h20.36.097843 +0800,
,,,,,,,,,,,,,,,,,,,,,,,2.947622500010766,2.947622500010766,space,5.848291399990558,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,001,2025-03-08_10h20.21.703,实验程序1.0,2024.2.4,59.86041747839583,2025-03-08 10h20.36.097843 +0800,
9,0,9,,,,9,0,9,0,,,,,29.740762600005837,,,,,,,,,,,,,,29.740762600005837,30.57736530000693,30.27759430000151,10.594215600009193,f,0.2787370000005467,None,32.049496200008434,32.118826000005356,32.118826000005356,33.29582010000013,space,1.1730695000005653,None,,,,,,,,,,,,,,,,,,95,001,2025-03-08_10h20.21.703,实验程序1.0,2024.2.4,59.86041747839583,2025-03-08 10h20.36.097843 +0800,
0,0,0,f,0.2401924999867333,None,,,,,0,0,0,0,33.35007350001251,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33983970001282,33.35007350001251,34.29409470000246,34.027772400004324,36.57323650000035,f,0.2401924999867333,None,0,image1,10,image2,image1,['low'],0.3,0.7,,95,001,2025-03-08_10h20.21.703,实验程序1.0,2024.2.4,59.86041747839583,2025-03-08 10h20.36.097843 +0800,
0,0,0,j,0.44853999999759253,None,,,,,0,0,0,0,36.62482930000988,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.615960200011614,36.62482930000988,37.91111510001065,37.444376700004796,39.93475520001084,j,0.44853999999759253,None,10,image1,9,image2,image1,"['low', 'low']",0.3,0.7,37.91111510001065,95,001,2025-03-08_10h20.21.703,实验程序1.0,2024.2.4,59.86041747839583,2025-03-08 10h20.36.097843 +0800,
1,0,1,f,0.1486975000007078,None,,,,,1,0,1,0,39.98670230001153,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.977083100005984,39.98670230001153,41.07772780000232,40.910964599999716,42.75159860000713,f,0.1486975000007078,None,10,image2,8,image2,image1,"['low', 'low', 'high']",0.3,0.7,,95,001,2025-03-08_10h20.21.703,实验程序1.0,2024.2.4,59.86041747839583,2025-03-08 10h20.36.097843 +0800,
2,0,2,j,0.46795030000794213,None,,,,,2,0,2,0,42.80404350000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.794503400000394,42.80404350000026,44.46073450001131,43.960878600002616,46.119037200012826,j,0.46795030000794213,None,0,image1,7,image2,image1,"['low', 'low', 'high', 'low']",0.3,0.7,44.46073450001131,95,001,2025-03-08_10h20.21.703,实验程序1.0,2024.2.4,59.86041747839583,2025-03-08 10h20.36.097843 +0800,
3,0,3,j,0.24091540000517853,None,,,,,3,0,3,0,46.22581730000093,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.21685930000967,46.22581730000093,48.06156240000564,47.794994100011536,50.31545059999917,j,0.24091540000517853,None,0,image1,6,image2,image1,"['low', 'low', 'high', 'low', 'low']",0.3,0.7,48.06156240000564,95,001,2025-03-08_10h20.21.703,实验程序1.0,2024.2.4,59.86041747839583,2025-03-08 10h20.36.097843 +0800,
4,0,4,f,0.281499899996561,None,,,,,4,0,4,0,50.36584370001219,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.35704380000243,50.36584370001219,52.094113600003766,51.79448880000564,54.24831000000995,f,0.281499899996561,None,0,image1,5,image2,image1,"['low', 'low', 'high', 'low', 'low', 'low']",0.3,0.7,52.094113600003766,95,001,2025-03-08_10h20.21.703,实验程序1.0,2024.2.4,59.86041747839583,2025-03-08 10h20.36.097843 +0800,
5,0,5,j,0.0574549000011757,None,,,,,5,0,5,0,54.30120240000542,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.291729000004125,54.30120240000542,55.661344600011944,55.5783497000084,57.74500650000118,j,0.0574549000011757,None,10,image2,4,image2,image1,"['low', 'high', 'low', 'low', 'low', 'high']",0.3,0.7,55.661344600011944,95,001,2025-03-08_10h20.21.703,实验程序1.0,2024.2.4,59.86041747839583,2025-03-08 10h20.36.097843 +0800,
