Subid,Times,Perceived_Stress,Uncertainty,Social_Threat
2,1,2,1,1
2,2,3,1,3
2,3,3,2,1
2,4,2,1,1
2,5,1,1,1
3,1,1,2,2
3,2,2,2,2
3,3,1,1,3
3,4,4,3,3
3,5,2,2,3
4,1,1,2,1
4,2,3,3,2
4,3,4,4,3
4,4,3,2,2
4,5,2,2,1
5,1,2,2,2
5,2,2,2,2
5,3,3,3,3
5,4,2,2,2
5,5,2,2,2
6,1,2,1,1
6,2,2,1,1
6,3,2,1,1
6,4,2,1,1
6,5,3,1,1
7,1,1,1,1
7,2,1,1,1
7,3,2,2,3
7,4,1,2,2
7,5,1,1,2
8,1,1,1,1
8,2,1,1,1
8,3,2,3,2
8,4,1,1,1
8,5,1,1,1
9,1,1,1,1
9,2,2,2,1
9,3,1,1,1
9,4,1,1,1
9,5,1,1,1
10,1,2,1,1
10,2,2,1,1
10,3,3,2,1
10,4,2,2,1
10,5,2,2,1
11,1,1,2,2
11,2,2,2,2
11,3,4,4,4
11,4,2,2,2
11,5,2,1,1
13,1,1,1,1
13,2,2,1,1
13,3,3,3,1
13,4,1,1,2
13,5,1,1,1
14,1,2,1,1
14,2,2,1,1
14,3,2,2,1
14,4,1,1,1
14,5,1,1,1
15,1,2,1,1
15,2,2,1,1
15,3,4,2,2
15,4,1,1,1
15,5,1,1,1
16,1,3,2,2
16,2,3,2,4
16,3,4,4,3
16,4,2,2,1
16,5,1,2,1
17,1,1,1,2
17,2,1,1,1
17,3,2,2,2
17,4,2,1,1
17,5,1,1,1
18,1,1,1,1
18,2,2,2,2
18,3,3,2,2
18,4,1,1,1
18,5,1,1,1
19,1,2,3,1
19,2,2,3,3
19,3,3,4,1
19,4,2,2,1
19,5,2,1,1
20,1,1,2,1
20,2,1,1,1
20,3,4,3,2
20,4,2,2,1
20,5,1,1,1
21,1,3,2,1
21,2,2,2,1
21,3,3,3,1
21,4,3,2,1
21,5,2,1,1
23,1,2,2,1
23,2,2,2,1
23,3,4,4,5
23,4,4,3,4
23,5,3,3,2
24,1,2,1,1
24,2,2,1,1
24,3,4,2,2
24,4,2,1,1
